Question,Answer,extended_answer,base_response,is_hallucination,final_answer,token_cost,time_cost
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ftÃÂÃÂ²","The shopping mall where KGOT radio station has its studios is 728,000 ftÃÂÃÂ² in size.",I have no idea.,YES,"KGOT radio station has its studios located in the Dimond Center shopping mall in Anchorage, Alaska, but the specific size of the mall is not readily available.",1734,15.681445837020874
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""We'll Burn That Bridge"" was behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.","The song ""Chattahoochee"" was the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"" and topped the country charts for two weeks.",YES,"The song ""She’s Got the Rhythm (And I Got the Blues)"" was the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"" and spent two weeks on the country charts.",1538,16.91858434677124
"Which band has more members, Kitchens of Distinction or Royal Blood?",Kitchens of Distinction,Kitchens of Distinction has more members than Royal Blood.,Kitchens of Distinction has more members than Royal Blood.,NO,Kitchens of Distinction has more members than Royal Blood.,1374,8.96801495552063
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,"Marion Greene was a health policy analyst for St. Judt Medical company, which had 20 principal operations worldwide.",I have no idea.,YES,"There is no publicly available information linking Marion Greene as a health policy analyst to a company named ""St. Judt Medical.""",1310,7.001449346542358
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace, at which Columba de Dunbar died in 1435, was founded in the late 12th Century.",I have no idea.,YES,"Columba de Dunbar died at Spynie Palace in 1435, not at the Palace of Dunbar.",1220,9.313968181610107
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"A hairdresser from Yorkshire, England invented a material called Starlite, which was named by his granddaughter.","A hairdresser from Yorkshire, England invented sticky-backed plastic, which was named by his granddaughter.",YES,"Polyethylene terephthalate (PET) was invented by British chemists John Rex Whinfield and James Tennant Dickson in 1941, and while Whinfield's father was a hairdresser from Yorkshire, there is no direct connection between a hairdresser and the invention of PET.",2024,16.093884468078613
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,Immanuel Lutheran School is affiliated with the denomination that has 2.1 million members.,"Immanuel Lutheran School is affiliated with the Lutheran denomination, which has approximately 3.3 million members within the Evangelical Lutheran Church in America (ELCA) and around 1.7 million within the Lutheran ChurchÃ¢ÂÂMissouri Synod (LCMS) in the United States.",NO,"Immanuel Lutheran School is affiliated with the Lutheran denomination, which is part of the Lutheran World Federation, having approximately 77 million members worldwide.",1882,14.803460359573364
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,43008,"Luke Null is an actor who was on the program that premiered its 43rd season on September 30, 2017.","Luke Null was on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.",NO,"The program ""Saturday Night Live"" premiered its 43rd season on October 7, 2017, and Luke Null was an actor on that season.",1127,7.207891464233398
What type of beliefs does Mount Ida and Rhea have in common?,Greek mythology,Mount Ida and Rhea have in common the belief in Greek mythology.,"Mount Ida and Rhea are both associated with ancient Greek mythology and religious beliefs, particularly linked to the worship of the goddess Rhea.",NO,"Mount Ida and Rhea share common beliefs in Greek mythology related to the birthplace and protection of Zeus, highlighting themes of motherhood, divine intervention, and sacredness.",5589,46.49038815498352
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,Sam Raimi produced the movie written by Stephen Susco.,Stephen Susco wrote a movie produced by American film actor Nicolas Cage.,YES,"Stephen Susco wrote the movie ""The Grudge,"" which starred American film actor Bill Pullman and was produced by Sam Raimi.",968,6.545718431472778
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,It took the Best New Artist of 2009 29 days to sell 2 million copies of an album in the UK and break a twenty year old record.,"It took Duffy, the Best New Artist of 2009, 39 days to sell 2 million copies of her album ""Rockferry"" in the UK and break a twenty-year-old record.",YES,"The Best New Artist of 2009, Lady Gaga, broke a twenty-year-old record by selling 2 million copies of her album ""Born This Way"" in the UK in just 17 days.",1265,6.935781240463257
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,"The American healthy lifestyle magazine, in which Georgia Rickard contributed, was started in 1950.",I have no idea.,YES,"The American healthy lifestyle magazine ""Prevention,"" to which Georgia Rickard contributed, was started in 1950.",1513,12.785471677780151
At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?,fortnightly,The magazine publishes the list of India's 50 Most powerful people of 2017 on a fortnightly basis.,"India Today, which ranked Aditya Puri #24th in India's 50 Most Powerful People of 2017 list, is published weekly.",YES,Fortune India publishes the list of India's 50 Most Powerful People annually and ranked Aditya Puri #24th in 2017.,1271,9.266337871551514
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.,NO,"Jamie Harris played The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.",1401,11.804094076156616
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards' first home venue in Kansas City was Arrowhead Stadium.,The Kansas City Wizards' first home venue was Arrowhead Stadium.,NO,Arrowhead Stadium was the first home venue for the Kansas City Wizards when they were established in 1996.,1841,15.267024040222168
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,Guns N' Roses performed the promo for the movie starring Arnold Schwarzenegger as a former New York Police detective in 1993.,YES,"In 1993, Guns N' Roses performed a promo for the movie ""Last Action Hero,"" starring Arnold Schwarzenegger, contributing the song ""Big Gun"" to its soundtrack.",1561,13.757035255432129
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast,Howard Melvin Fast was the novelist who wrote under the pen name Walter Ericson.,Howard Fast wrote under the pen name Walter Ericson.,NO,Howard Fast wrote under the pen name Walter Ericson.,1053,7.33597993850708
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel,"Erwin Lambert was a member of the Schutzstaffel, which was a paramilitary organization under Hitler.","Erwin Lambert was a member of the SS, the paramilitary organization under Hitler.",NO,"Erwin Lambert was involved with the Schutzstaffel (SS) during Hitler's regime, primarily as a craftsman and builder contributing to the construction of gas chambers at Nazi extermination camps.",1993,38.37286376953125
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","The three categories that income gets levied under the Parliament of Australia's tax code are ""personal earnings"" (such as salary and wages), ""business income,"" and ""capital gains.""","Income in Australia is generally categorized for taxation under three main categories: personal income tax, corporate tax, and goods and services tax (GST).",NO,"The three main categories under which income is taxed in Australia are individual income tax, corporate tax, and capital gains tax.",2057,11.721731185913086
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,48982,"The Memphis Hustle are based in a suburb of a city with a population of 48,982 in 2010.","The Memphis Hustle are based in a suburb of Memphis, Tennessee, which had a population of 646,889 in 2010.",YES,"The Memphis Hustle are based in Southaven, Mississippi, a suburb of Memphis, which had a population of approximately 646,889 in 2010.",1038,8.415268421173096
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851,"The novel by American writer Herman Melville, which Marvel Classics Comics specialized in adapting, was published in 1851.","Marvel Classics Comics adapted Herman Melville's novel ""Moby-Dick,"" which was originally published in 1851.",NO,"Marvel Classics Comics adapted the novel ""Moby-Dick"" by American writer Herman Melville, which was published in 1851.",1081,7.444281816482544
"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.","Gallery magazine is older than Dime Magazine as it arose on the ""Playboy"" magazine pattern in the 1970s.","Dime Magazine is older, first published in 1996, whereas Gallery magazine was first published in 1972.",YES,"Gallery Magazine is older than Dime Magazine, as it was first published in 1972, while Dime Magazine was launched in 1996.",1026,6.521277904510498
Are both Dafeng District and Dazhou located in the same province?,no,"No, both Dafeng District and Dazhou are not located in the same province.","No, Dafeng District is located in Jiangsu Province, while Dazhou is located in Sichuan Province.",NO,"Dafeng District and Dazhou are not located in the same province; Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province.",1098,6.562008380889893
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,9984,"Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants.",I have no idea.,YES,"Brown State Fishing Lake is located in the United States, which has a population of approximately 334 million people.",961,8.514455795288086
In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?,Campbellsville University,Richard Williams' former assistant is a member of the Athletics Hall of Fame at Campbellsville University.,I have no idea.,YES,"Richard Williams' former assistant, Brad Gilbert, is a member of the Athletics Hall of Fame at the University of California, Berkeley.",1834,14.218085765838623
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.,I have no idea.,YES,"Badly Drawn Boy, as a solo artist who plays multiple instruments, has a higher instrument-to-person ratio compared to Wolf Alice, a band with four members each typically playing one primary instrument.",1807,13.386004209518433
What is the name of the father of Childericus?,Merovech,"The name of the father of Childericus is Merovech, who was a prominent figure in the history of the Merovingian dynasty.",The name of Childeric's father is Merovech.,NO,"Childeric I is traditionally recognized as the son of Merovech, the semi-legendary founder of the Merovingian dynasty, though some historical debates and alternative theories exist due to the scarcity and legendary nature of early sources.",2179,17.373873949050903
"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,"Both ""500 Years Later"" and ""Manson"" are documentary films.","Both ""500 Years Later"" and ""Manson"" are documentary films.",NO,"""500 Years Later"" is a documentary, while ""Manson"" is a docudrama.",1369,8.692177772521973
The third emperor in the Year of the Four Emperors had how many wives? ,second,The second emperor in the Year of the Four Emperors had more than one wife.,I have no idea.,YES,"The third emperor in the Year of the Four Emperors, Vitellius, had one wife, Statilia Messalina.",1546,9.1616849899292
How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,4613,"Ron Joyce helped found a quick service restaurant chain that comprises a total of 4,613 restaurants.","Tim Hortons, the quick service restaurant chain that Ron Joyce helped found, comprises over 5,000 restaurants worldwide.",NO,"Ron Joyce helped found the quick service restaurant chain Tim Hortons, which comprises over 5,300 restaurants worldwide as of 2023.",2118,19.583346366882324
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977,"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in 1977.","The Indian actor and philanthropist who starred in ""Mera Damad,"" Amjad Khan, entered the film industry in 1957.",YES,"The Indian actor and philanthropist Sunil Dutt, who starred in ""Mera Damad,"" entered the film industry in 1955.",1096,6.837756156921387
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,"The Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, was born in 1932.",I have no idea.,YES,"Ron Ayers, the Chief Aerodynamicist for the British supersonic land vehicle Bloodhound SSC, was born on February 19, 1932.",1603,11.91585397720337
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,143372,"The population of the city at which the transmitter of WLLZ-LP was placed is 143,372.",I have no idea.,YES,"The population of Detroit, where the transmitter of WLLZ-LP is located, is approximately 639,000 as of the most recent estimates.",1675,13.971657514572144
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,"Dinosaur came out first before McFarland, USA.","Dinosaur came out first, in the year 2000, while McFarland, USA was released in 2015.",NO,"""Dinosaur"" was released in 2000, before ""McFarland, USA,"" which was released in 2015.",1091,7.920682191848755
Who was the eldest brother of the Mexican drug trafficker born 12 March 1952?,Francisco Rafael Arellano FÃÂÃÂ©lix,The eldest brother of the Mexican drug trafficker born 12 March 1952 was Francisco Rafael Arellano FÃÂÃÂ©lix.,I have no idea.,YES,"Miguel Ángel Félix Gallardo, born on January 8, 1946, is the eldest brother among his siblings and a prominent Mexican drug trafficker.",1552,12.697186708450317
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the world outside North America until it was succeeded by a building in Hong Kong.,"The tallest building outside North America that succeeded One Raffles Place is located in Kuala Lumpur, Malaysia.",YES,"One Raffles Place was never the tallest skyscraper outside North America, and the building that succeeded it in height is the Burj Khalifa in Dubai, not located in Kuala Lumpur.",1576,15.994969129562378
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II,"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but his attempt to rid India of British rule during World War II left a troubled legacy.","The Azad Hind Dal was created by Subhas Chandra Bose during World War II in his attempt to rid India of British rule, leaving a troubled legacy.",NO,"The Azad Hind Dal was created by Subhas Chandra Bose during World War II to rid India of British rule, leaving a legacy of patriotism and military struggle.",2476,20.39428472518921
Where was the movement that August Brancart published literature from centerd?,Western Europe,The movement that August Brancart published literature from was centered in Western Europe.,"The movement that August Brancart published literature from was centered in Brussels, Belgium.",YES,"While August Brancart was a notable publisher in Brussels, the movement associated with his publications was part of a broader European anarchist movement and not specifically centered in Brussels.",1731,16.809489965438843
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film titled ""The Bye Bye Man.""","The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",NO,"The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, does not star in a 2017 film with Douglas Smith and Lucien Laviscount; Gabriella Wilde stars with them in ""The Bye Bye Man.""",1302,9.473649501800537
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics attended Oxford, one of the most prestigious universities in Britain.","The author of Sexual Politics, Kate Millett, attended St Hilda's College, Oxford.",NO,"Kate Millett, the author of ""Sexual Politics,"" attended the University of Oxford, where she earned a degree in English literature from St. Hilda's College in 1958.",1589,23.00855302810669
