task_id,difficulty,base_pass,final_pass,n_candidates,n_cand_passing,final_pass_long_timeout
count-pairs-that-form-a-complete-day-i,Easy,False,False,6,0,False
kill-process,Medium,True,True,6,4,
alt-and-tab-simulation,Medium,False,False,6,0,False
smallest-rectangle-enclosing-black-pixels,Hard,False,False,6,0,False
base-7,Easy,True,True,6,6,
minimum-time-to-complete-trips,Medium,False,False,6,0,False
integer-to-english-words,Hard,False,False,6,0,False
relative-ranks,Easy,False,False,6,0,False
make-number-of-distinct-characters-equal,Medium,True,True,6,6,
decode-xored-permutation,Medium,False,False,6,0,False
minimum-time-to-make-array-sum-at-most-x,Hard,False,False,6,0,False
find-beautiful-indices-in-the-given-array-i,Medium,True,True,6,6,
to-lower-case,Easy,True,True,6,6,
goal-parser-interpretation,Easy,True,True,6,5,
group-the-people-given-the-group-size-they-belong-to,Medium,False,False,6,0,False
max-pair-sum-in-an-array,Easy,True,True,6,6,
the-k-strongest-values-in-an-array,Medium,False,True,6,3,
number-of-senior-citizens,Easy,False,False,6,0,False
3sum-smaller,Medium,True,True,6,6,
maximize-grid-happiness,Hard,False,False,6,0,False
number-of-divisible-triplet-sums,Medium,False,False,6,3,False
find-closest-node-to-given-two-nodes,Medium,True,True,6,6,
rearranging-fruits,Hard,True,False,6,3,False
rearrange-array-to-maximize-prefix-score,Medium,False,False,6,1,False
maximum-height-by-stacking-cuboids,Hard,True,True,6,6,
count-numbers-with-unique-digits,Medium,False,False,6,0,False
number-of-bit-changes-to-make-two-integers-equal,Easy,False,True,6,5,
lowest-common-ancestor-of-a-binary-tree-ii,Medium,False,False,6,0,False
check-if-the-sentence-is-pangram,Easy,True,True,6,5,
categorize-box-according-to-criteria,Easy,True,True,6,6,
can-make-arithmetic-progression-from-sequence,Easy,False,False,6,0,False
difference-of-number-of-distinct-values-on-diagonals,Medium,False,False,6,0,False
maximize-greatness-of-an-array,Medium,False,False,6,2,False
find-beautiful-indices-in-the-given-array-ii,Hard,False,False,6,0,False
longest-uncommon-subsequence-i,Easy,True,True,6,6,
find-missing-observations,Medium,False,False,6,0,False
the-kth-factor-of-n,Medium,False,False,6,4,False
shortest-subarray-with-or-at-least-k-i,Easy,False,True,6,5,
count-square-sum-triples,Easy,True,True,6,6,
student-attendance-record-ii,Hard,True,True,6,6,
number-of-good-leaf-nodes-pairs,Medium,False,False,6,0,False
minimum-time-for-k-virus-variants-to-spread,Hard,False,False,6,0,False
find-minimum-diameter-after-merging-two-trees,Hard,True,True,6,6,
minimum-cost-for-tickets,Medium,True,True,6,5,
longest-absolute-file-path,Medium,True,True,6,6,
shortest-path-with-alternating-colors,Medium,True,True,6,5,
count-the-number-of-ideal-arrays,Hard,False,False,6,0,False
the-employee-that-worked-on-the-longest-task,Easy,False,False,6,0,False
number-of-ways-of-cutting-a-pizza,Hard,False,False,6,0,False
number-of-ways-to-reconstruct-a-tree,Hard,False,False,6,0,False
meeting-scheduler,Medium,False,False,6,0,False
the-k-weakest-rows-in-a-matrix,Easy,False,False,6,0,False
number-of-subarrays-that-match-a-pattern-ii,Hard,True,True,6,6,
wildcard-matching,Hard,True,True,6,6,
find-two-non-overlapping-sub-arrays-each-with-target-sum,Medium,False,False,6,3,False
remove-linked-list-elements,Easy,False,False,6,0,False
minimum-addition-to-make-integer-beautiful,Medium,True,True,6,6,
unique-paths-iii,Hard,False,False,6,0,False
optimal-partition-of-string,Medium,True,True,6,6,
basic-calculator-ii,Medium,True,True,6,6,
isomorphic-strings,Easy,True,True,6,6,
max-increase-to-keep-city-skyline,Medium,False,False,6,0,False
plates-between-candles,Medium,False,False,6,0,False
length-of-the-longest-subsequence-that-sums-to-target,Medium,False,False,6,1,False
number-of-unique-categories,Medium,False,False,6,0,False
remove-outermost-parentheses,Easy,True,True,6,6,
maximum-sum-of-subsequence-with-non-adjacent-elements,Hard,True,True,6,6,
capitalize-the-title,Easy,True,True,6,6,
maximum-of-absolute-value-expression,Medium,False,False,6,0,False
minimum-cost-to-move-chips-to-the-same-position,Easy,False,False,6,1,False
minimum-cost-to-equalize-array,Hard,False,False,6,0,False
filter-restaurants-by-vegan-friendly-price-and-distance,Medium,False,True,6,4,
find-the-maximum-sum-of-node-values,Hard,False,False,6,0,False
add-two-numbers-ii,Medium,False,False,6,0,False
smallest-range-i,Easy,False,False,6,1,False
shortest-subarray-with-sum-at-least-k,Hard,True,True,6,6,
smallest-common-region,Medium,False,False,6,0,False
merge-two-binary-trees,Easy,False,False,6,0,False
count-ways-to-build-rooms-in-an-ant-colony,Hard,True,True,6,6,
ones-and-zeroes,Medium,True,True,6,6,
smallest-missing-genetic-value-in-each-subtree,Hard,False,False,6,0,False
number-of-islands,Medium,False,False,6,1,False
find-permutation,Medium,False,True,6,1,
longest-duplicate-substring,Hard,True,True,6,6,
shortest-path-in-a-grid-with-obstacles-elimination,Hard,True,True,6,6,
cat-and-mouse-ii,Hard,False,False,6,0,False
contains-duplicate-iii,Hard,False,False,6,0,False
count-submatrices-with-all-ones,Medium,False,False,6,0,False
majority-element-ii,Medium,False,False,6,0,False
groups-of-strings,Hard,False,False,6,0,False
minimum-time-to-complete-all-tasks,Hard,False,False,6,0,False
find-array-given-subset-sums,Hard,False,False,6,0,False
longest-alternating-subarray,Easy,False,True,6,5,
maximize-win-from-two-segments,Medium,True,True,6,6,
perfect-rectangle,Hard,False,False,6,0,False
wiggle-sort,Medium,False,False,6,0,False
maximum-ice-cream-bars,Medium,False,False,6,1,False
optimal-division,Medium,False,False,6,0,False
minimum-number-of-removals-to-make-mountain-array,Hard,True,True,6,6,
1-bit-and-2-bit-characters,Easy,False,False,6,1,False
minimum-operations-to-form-subsequence-with-target-sum,Hard,False,False,6,0,False
count-number-of-nice-subarrays,Medium,False,False,6,1,False
paths-in-maze-that-lead-to-same-room,Medium,False,True,6,5,
minimum-operations-to-make-array-equal-to-target,Hard,False,False,6,0,False
number-of-laser-beams-in-a-bank,Medium,False,False,6,0,False
clone-binary-tree-with-random-pointer,Medium,True,False,6,5,False
three-equal-parts,Hard,False,False,6,0,False
shortest-subarray-to-be-removed-to-make-array-sorted,Medium,False,False,6,0,False
longest-word-with-all-prefixes,Medium,False,False,6,0,False
find-and-replace-in-string,Medium,False,False,6,0,False
print-words-vertically,Medium,False,True,6,2,
house-robber,Medium,False,False,6,0,False
construct-target-array-with-multiple-sums,Hard,False,False,6,0,False
smallest-index-with-equal-value,Easy,False,True,6,3,
watering-plants-ii,Medium,False,False,6,0,False
strings-differ-by-one-character,Medium,False,False,6,0,False
minimum-number-of-k-consecutive-bit-flips,Hard,False,False,6,0,False
remove-interval,Medium,False,False,6,0,False
univalued-binary-tree,Easy,False,False,6,0,False
partition-array-according-to-given-pivot,Medium,True,True,6,6,
find-longest-special-substring-that-occurs-thrice-ii,Medium,True,True,6,6,
check-if-it-is-possible-to-split-array,Medium,False,False,6,0,False
count-the-number-of-fair-pairs,Medium,True,True,6,6,
split-concatenated-strings,Medium,True,True,6,6,
maximum-subtree-of-the-same-color,Medium,False,False,6,0,False
median-of-two-sorted-arrays,Hard,False,False,6,0,False
regular-expression-matching,Hard,True,True,6,6,
substring-with-concatenation-of-all-words,Hard,True,True,6,6,
