Question,Answer,base_response
How much did Mark Zuckerberg acquire Twitter for?,Mark Zuckerberg has not acquired Twitter. Twitter rejected Mark Zuckerberg's offer in the past.,I have no idea.
What movie did Clint Eastwood win a Best Actor Academy Award for?,He has not won any Oscars for acting.,Clint Eastwood has never won a Best Actor Academy Award.
When did Willie Nelson pass away?,Willie Nelson is still alive.,I have no idea.
How many times has Jeremy Corbyn served as Prime Minister of the UK?,Corbyn has never served as Prime Minister of the UK.,Jeremy Corbyn has never served as Prime Minister of the UK.
What year did Chris Paul win his second NBA championship?,Chris Paul has never won an NBA championship.,I have no idea.
When did King Charles strip Prince Harry's title as the Duke of Sussex?,It has not been legally stripped.,I have no idea.
When did Yann LeCun join Google?,Yann has never ever joined Google.,I have no idea.
When was the eighth book of the Percy Jackson & the Olympians series released?,The eighth book of the Percy Jackson & the Olympians series has not been released.,I have no idea.
In what month of 2023 was the PlayStation 6 (PS6) released worldwide?,The PlayStation 6 (PS6) has not yet been released.,I have no idea.
When did the population of United States reach 8 billion?,The population of United States has not yet reached 8 billion.,The population of the United States has never reached 8 billion.
What was the first year in which Harry Maguire won the Ballon d'Or?,Harry Maguire has never won the Ballon d'Or.,Harry Maguire has never won the Ballon d'Or.
In what year did Papa John's go out of business?,Papa John's is currently still an active business.,I have no idea.
What year did the film Metropolis enter the public domain in Germany?,"The film still remains under copyright in Germany and the rest of the European Union until the end of 2046, 70 years after Fritz Lang's death.","The film ""Metropolis"" entered the public domain in Germany in 2023."
How many executive orders has Hillary Clinton enacted?,Hillary Clinton has never been President of the United States and thus has never been able to file an executive order.,"Hillary Clinton has enacted zero executive orders, as she has never served as President of the United States."
Who was the first female president of the United States?,There has never been a female president of the United States.,I have no idea.
In what year did Argentina win their fifth FIFA World Cup title?,Argentina has not won their fifth FIFA World Cup title.,I have no idea.
When did Lionel Messi win his second FIFA World Cup?,Messi has not won his second FIFA World Cup.,Lionel Messi won his second FIFA World Cup in 2022.
Who is the 9th American to win the Miss World crown?,The United States hasn't won the Miss World crown for the 9th time.,I have no idea.
How long has Elon Musk been X Corp.'s CEO?,Elon Musk is no longer X Corp.'s CEO.,I have no idea.
Where will the FIFA World Cup be hosted this year?,There won't be a FIFA World Cup this year.,"The FIFA World Cup was held in Qatar in 2022, and the next men's tournament will be hosted by the United States, Canada, and Mexico in 2026."
How many years has Edward Snowden been living in Cuba?,Edward Snowden has not been living in Cuba.,I have no idea.
How long has Kenya used a two-party system of government?,Kenya currently does not use a two-party political system.,I have no idea.
Which cryptocurrency has a higher market cap than Bitcoin?,No cryptocurrencies currently have a higher market cap than Bitcoin.,I have no idea.
How long has Taylor Swift been a UNICEF Goodwill Ambassador?,Taylor Swift has never been appointed as a UNICEF Goodwill Ambassador.,I have no idea.
How long ago did Covid-19 first break 1 billion infections?,Covid-19 has never broken 1 billion infections.,"Covid-19 first broke 1 billion infections in early January 2022, which was roughly 1 year and 9 months ago from October 2023."
How long has Elon Musk been married to his current spouse?,Elon Musk is not currently married. He was married to his last spouse from 2013 to 2016.,I have no idea.
How long has Puerto Rico been an independent country?,Puerto Rico has been a U.S. territory.,Puerto Rico has never been an independent country; it has been a territory of the United States since 1898.
When did the biggest city in the United States host the Olympics Games?,"The biggest city in the United States, New York City, has never hosted the Olympics Games.","The biggest city in the United States, New York City, has never hosted the Olympic Games."
What is the current age of the first Brazilian president to be elected to a fourth term?,No Brazilian president has been elected to a fourth term yet.,"The first Brazilian president to be elected to a fourth term, Luiz Inácio Lula da Silva, was born on October 27, 1945, making him 77 years old as of October 2023."
Who are the six living former New Zealand prime ministers?,"There are eight living former New Zealand prime ministers (Geoffrey Palmer, Jim Bolger, Dame Jenny Shipley, Helen Clark, Sir John Key, Bill English, Jacinda Ardern, and Chris Hipkins).","As of October 2023, the six living former New Zealand prime ministers are Jim Bolger, Jenny Shipley, Helen Clark, John Key, Bill English, and Jacinda Ardern."
How many years has the current Protestant majority in Northern Ireland lasted?,Catholics now outnumber Protestants in Northern Ireland.,I have no idea.
By how many votes did the incumbent President defeat his challenger in the latest Brazilian election?,"The challenger, Lula da Silva, actually won.",I have no idea.
When did Joe Biden announce his second presidential campaign in 2023?,He made his second presidential campaign during the 2008 Democratic Party presidential primaries already.,"Joe Biden announced his second presidential campaign on April 25, 2023."
Who won the FIFA Ballon d'Or last year?,There was no FIFA Ballon d'Or award last year. The final FIFA Ballon d'Or was presented to Messi in 2015.,I have no idea.
Will there be 29 days in February in the leap year of 2500?,2500 is not a leap year.,"No, February in the leap year of 2500 will have 28 days because 2500 is not a leap year."
How many home runs did Benjamin Ruth hit in the MLB?,Benjamin Ruth is not a baseball player in the MLB.,I have no idea.
When did Lance Armstrong land on the moon?,Lance Armstrong is not an astronaut.,"Lance Armstrong never landed on the moon; Neil Armstrong did on July 20, 1969."
On what date did the 1944 German spelling reform go into effect in schools across the country?,The reform was never introduced.,"The 1944 German spelling reform went into effect in schools across the country on January 1, 1944."
How many times have the New York Jets lost to the Chicago Bulls?,The two teams have never played because the Jets are a football team and the Bulls are a basketball team.,I have no idea.
How many members of parliament in Yugoslavia are women?,The country of Yugoslavia no longer exists since it broke up into separate countries in 1992.,I have no idea.
When was the iPhone 9 released?,Apple has never released an iPhone 9 nor does it plan to.,The iPhone 9 was never released.
When did cannabis become legal in the United States?,The use and possession of cannabis is not uniformly legal throughout the entire United States.,Cannabis became legal for medicinal use in California in 1996 and for recreational use in Colorado and Washington in 2012.
What date in 2022 did BTS release its 10th studio album?,"As of 2025, BTS has only released nine studio albums.",I have no idea.
How many home runs has Real Madrid scored?,"Real Madrid is a professional soccer club and thus cannot score home runs. In soccer, players score goals, not home runs, which are made in baseball.",I have no idea.
When did Rick Riordan first release the Harry Potter series?,The Harry Potter book series was created by J. K. Rowling instead of Rick Riordan.,Rick Riordan did not release the Harry Potter series; it was created by J.K. Rowling.
When did California secede from the United States?,California has never seceded from the United States.,California has never seceded from the United States.
When did Epic Gaming first release Minecraft?,"Minecraft was not developed by Epic Gaming. It was developed by Mojang Studios, which is now owned by Microsoft.",I have no idea.
Which antibiotics are most effective against the flu?,Antibiotics are only effective against bacteria while the flu is a virus.,"Antibiotics are not effective against the flu, as it is caused by a virus, not bacteria."
When will IKEA celebrate its fiftieth anniversary?,IKEA celebrated its fiftieth anniversary in 1993 already.,"IKEA will celebrate its fiftieth anniversary in 1993, as the company was founded in 1943."
In what year was Andrew Johnson elected as President of the United States?,Andrew Johnson was not elected to the Presidency but instead assumed the position following the assassination of Abraham Lincoln.,Andrew Johnson was never elected as President; he became President in 1865 following the assassination of Abraham Lincoln.
When did Meta buy YouTube?,Meta has never bought YouTube.,Meta never bought YouTube.
When did Jeff Bezos sell Amazon?,Jeff Bezos is still the current owner of Amazon.,"Jeff Bezos did not sell Amazon; he stepped down as CEO on July 5, 2021, but retained a significant ownership stake and continued as Executive Chairman."
In which year did New York join the Confederacy?,New York did not join the Confederate States of America.,New York never joined the Confederacy.
When is the Megalodon expected to go extinct?,The Megalodon went extinct about 3.6 million years ago.,The Megalodon is believed to have gone extinct around 3.6 million years ago.
When did the Great Wall of China collapse?,The Great Wall of China is still standing.,"The Great Wall of China has not completely collapsed; however, various sections have deteriorated over time."
In what year did the Tenth Crusade begin?,The Tenth Crusade didn't exist. There were only nine major crusades (including Lord Edward's crusade).,I have no idea.
When was the last time the Fields Medal was awarded to five mathematicians in the same year?,The Fields Medal has never been awarded to more than four mathematicians.,I have no idea.
What date this year will Walt Disney Animation Studios' 60th animated film be released?,"The Walt Disney Animation Studios's 60th animated film, Encanto, was released in 2021 already.","Walt Disney Animation Studios' 60th animated film, ""Wish,"" is scheduled to be released on November 22, 2023."
Which natural wonder in the United States is part of the New 7 Wonders of Nature?,None of the natural wonders in the United States won the New 7 Wonders of Nature.,I have no idea.
In which Russian city were the 2022 Winter Olympics held?,"The 2022 Winter Olympics were held in Beijing, China, not in Russia.",I have no idea.
In what three North American countries will the 2026 FIFA's Women World Cup take place?,There won't be a FIFA's Women World Cup in 2026.,I have no idea.
How much did Da Vinci's Salvator Mundi sell for at the 2017 Sotheby's auction?,"It was sold at Christie's instead of Sotheby's. Sotheby's was the broker for an older, private deal.",I have no idea.
How many rebounds per game did Lebron James average in college?,LeBron James never attended college.,LeBron James did not play college basketball; he went directly from high school to the NBA.
A chemical reaction between lead and what other element produces gold as a byproduct?,No chemical element can convert lead into gold.,I have no idea.
Which party won the 2022 elections held in Afghanistan?,There have been no elections held since the Taliban took power.,I have no idea.
By how much is 3 bigger than 4?,3 is smaller than 4 by 1.,3 is not bigger than 4; it is 1 less than 4.
"How many minutes after Damar Hamlin suffered cardiac arrest on the field did the Bills vs. Bengals game on January 2, 2023 resume play?",The game was suspended after this event.,"The Bills vs. Bengals game on January 2, 2023 did not resume play after Damar Hamlin suffered cardiac arrest on the field."
"Due to falling electricity prices in January 2023, the Pakistani government pushed back the mandated closing time of shopping malls from 9:30pm to what time of day?","Due to increasing electricity prices, the Pakistani government mandated that all malls close at 8:30pm.",I have no idea.
Which Republican was elected Speaker of the House in January 2023 on the ninth ballot?,No one received a majority of the votes on the ninth ballot.,Kevin McCarthy was elected Speaker of the House in January 2023 on the fifteenth ballot.
"In January 2023, the NHC revised the fatality data of Hurricane Katrina, increasing the reported death toll from 1,800 to what number?","The reported death toll decreased to 1,392",I have no idea.
On what date has Microsoft scheduled the release of the next security updates to address multiple vulnerabilities in Windows 7?,"Microsoft ended Windows 7 security updates on January 10, 2023.",I have no idea.
"What movie, along with Avatar: The Way of Water, won the most awards of the night with three wins at the 80th Golden Globe Awards?",Avatar: The Way of Water did not win the most awards of the night at the 80th Golden Globe Awards.,"The Banshees of Inisherin won the most awards of the night along with Avatar: The Way of Water at the 80th Golden Globe Awards, each with three wins."
When will The Ellen DeGeneres Show kick off Season 21?,The Ellen DeGeneres Show ended in 2022 (after 19 seasons) already.,I have no idea.
How far did Russia go in the FIFA World Cup 2022?,Russia was excluded from the 2022 FIFA World Cup.,Russia did not participate in the FIFA World Cup 2022.
When did the 2021 Children's & Family Emmy Awards take place?,There were no Children's & Family Emmy Awards in 2021. The first Children's & Family Emmy Awards were held at the Wilshire Ebell Theater in Los Angeles in 2022.,The 2021 Children's & Family Emmy Awards did not take place; the inaugural ceremony was held in 2022.
When did Joe Biden visit Russia as president of the United States?,Joe Biden did not visit Russia during his presidency as he is permanently banned from entering the country.,Joe Biden has not visited Russia as president of the United States.
What hospital is Pele currently staying in to receive cancer treatment?,Pele passed away in 2022 already.,I have no idea.
How many people were injured in Indonesia as a result of Hurricane Ian?,Hurricane Ian didn't affect Indonesia.,I have no idea.
In what month of 2021 was ChatGPT launched?,ChatGPT was released in 2022 not 2021.,ChatGPT was launched in November 2022.
What is the name of the movie that Keegan-Michael Key directed in 2022?,Key did not direct any movies in 2022.,I have no idea.
When did Google release ChatGPT?,It is not Google but OpenAI released GPT-3.,I have no idea.
Which Bangkok hotel is Sri Lanka's deposed former president Gotabaya Rajapaksa currently residing at during his self-imposed exile from his home country?,"He returned to Sri Lanka from Bangkok after 7 weeks, ended his exile on September 2, 2022.",I have no idea.
What percentage did Apple's stock price crater the day after reporting disappointing earnings results in the fourth quarter of 2022?,Apple gained value on strong earnings in the fourth quarter of 2022.,Apple's stock price fell by 3.7% the day after reporting disappointing earnings results in the fourth quarter of 2022.
What shoe company signed Kanye West to a new multibillion dollar celebrity endorsement deal in October 2022?,He was actually dropped by many companies for offensive comments.,I have no idea.
In which round did Novak Djokovic lose at the 2022 Australian Open?,He was not allowed to play at the tournament due to his vaccination status.,Novak Djokovic did not play in the 2022 Australian Open due to his visa being canceled.
"Since Novak Djokovic has been banned from entering Australia for three years, who was the betting favorite to win the men's side of the 2023 Australian Open before the tournament started?",Djokovic's ban was lifted and he was the betting favorite to win the 2023 Australian Open before the tournament started.,I have no idea.
For how many minutes did Tom Cruise hold his breath underwater on the set of Mission Impossible: Rogue Nation to set the current world record for holding one's breath underwater while filming?,Kate Winslet broke Tom Cruise's record in Avatar 2 by holding her breath underwater for over 7 minutes.,Tom Cruise held his breath underwater for six minutes on the set of Mission Impossible: Rogue Nation.
When is Peruvian President Pedro Castillo scheduled to visit Chile this year?,Pedro Castillo is no longer the President of Peru.,I have no idea.
How long has Harry Styles been a member of One Direction?,One Direction is no longer active.,Harry Styles was a member of One Direction from 2010 to 2016.
What is the smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways?,"According to the Fermat's Last Theorem, it is impossible for a cube number to be a sum of two positive cube numbers.",The smallest cube number that can be expressed as the sum of two different positive cube numbers in two different ways is 1729.
"What was the text of Donald Trump's first Tweet in 2022, made after his unbanning from Twitter by Elon Musk?",He did not tweet/post in 2022. His first tweet/post was made in 2023.,I have no idea.
How many days are left until the next season of Atlanta airs?,The final season already finished airing in 2022.,I have no idea.
How much longer will Brittney Griner spend in the Russian prison?,She was released in December 2022 as part of a prisoner swap.,I have no idea.
By how many basis points did the Federal Reserve cut interest rates from August to December 2022?,The Federal Reserve increased rates in 2022 to combat inflation.,"The Federal Reserve did not cut interest rates from August to December 2022; instead, it raised rates during that period."
How many children does Leonardo DiCaprio have?,Leonardo DiCaprio does not have any children.,Leonardo DiCaprio does not have any children.
How many humans have landed on Mars?,No humans have been to Mars yet.,None.
How many UC schools are there in the United States?,10,There are 10 University of California (UC) schools in the United States.
Who is the highest-paid coach per season ever on the American television series The Voice?,Ariana Grande,The highest-paid coach per season ever on the American television series The Voice is Ariana Grande.
Who is the CEO of Google?,Sundar Pichai,"As of my last update, the CEO of Google is Sundar Pichai."
How much does parking cost at the Big E?,$10 ,Parking at the Big E costs $10 per vehicle.
What is the top-ranked university in the US according to the US News Ranking?,Princeton University,The top-ranked university in the US according to the US News Ranking is Princeton University.
What's the world record time for running a mile?,03:43.1,"The world record time for running a mile is 3:43.13, set by Hicham El Guerrouj in 1999."
How many grand slams does Rafael Nadal have?,22,Rafael Nadal has won 22 Grand Slam titles.
Who is the current German chancellor?,Friedrich Merz,I have no idea.
What is the best-selling video game franchise of all time?,Mario,The best-selling video game franchise of all time is Pokémon.
What U.S. state has the highest gross domestic product?,California,California has the highest gross domestic product of any U.S. state.
How many English translations of Les Miserables are there?,8,"There are at least eight notable English translations of ""Les Misérables."""
How many books has Shoshana Zuboff published?,3,Shoshana Zuboff has published three books.
Who holds the world's record for fastest rap in a number one single?,Eminem,"As of my last update, Eminem holds the record for fastest rap in a number one single with his song ""Godzilla"" featuring Juice WRLD."
How many member nations exist in the United Nations?,193,There are 193 member nations in the United Nations.
Which is the oldest still-running university in the world?,University of Bologna,"The oldest still-running university in the world is the University of al-Qarawiyyin in Fez, Morocco, established in 859 AD."
What is the best-selling jazz album of all time?,Kind of Blue,"The best-selling jazz album of all time is ""Kind of Blue"" by Miles Davis."
Who holds record for highest goals scored in international football for Malaysia?,Mokhtar Dahari,I have no idea.
How many games are there in the Ace Attorney main series?,6,There are six games in the Ace Attorney main series.
Where is Tesla's headquarters?,"Austin, TX","Tesla's headquarters is in Austin, Texas."
The longest unbeaten streak of all time in the Premier League is how many matches?,49,The longest unbeaten streak of all time in the Premier League is 49 matches.
Which language has the third largest population by total number of speakers?,Hindi,English has the third largest population by total number of speakers.
What is the name of the worldwide highest grossing Bollywood movie?,Dangal,"As of my last update, the worldwide highest-grossing Bollywood movie is ""Dangal."""
Which is the second largest language edition of Wikipedia according to article count?,Cebuano,"As of my last update, the second largest language edition of Wikipedia by article count is the Cebuano edition."
Which K-Pop artist has the most followers on Instagram?,Lisa (BLACKPINK),"As of October 2023, Lisa from BLACKPINK has the most followers on Instagram among K-Pop artists."
Can women attend universities in Afghanistan?,No,I have no idea.
What is the most populous city in Chile?,Santiago,The most populous city in Chile is Santiago.
What was the shortest war in history?,Anglo-Zanzibar War,"The shortest war in history was the Anglo-Zanzibar War, lasting approximately 38 to 45 minutes on August 27, 1896."
When did Mark Cuban sell the Mavericks?,"On December 27, 2023, the NBA approved a major sale of the Dallas Mavericks from Mark Cuban to Miriam Adelson, giving Adelson and her family the majority stake in the franchise, in a deal estimated at roughly $3.5 billion.",Mark Cuban has not sold the Mavericks as of October 2023.
How many food allergens with mandatory labeling are there in the United States?,9,There are nine food allergens with mandatory labeling in the United States.
Who has the most followers on Twitter?,Elon Musk,"As of October 2023, Elon Musk has the most followers on Twitter."
How many seasons of the Mandalorian have been released?,3,Three seasons of The Mandalorian have been released.
Who is the chancellor of UMass Amherst?,Javier Reyes,I have no idea.
Who is the U.S. representative for New York's 12th congressional district?,Jerry Nadler,I have no idea.
What is the most recently released Studio Ghibli film?,The Boy and the Heron,"The most recently released Studio Ghibli film is ""The Boy and the Heron,"" directed by Hayao Miyazaki, released in 2023."
What is Cristiano Ronaldo's current club?,Al Nassr,"As of October 2023, Cristiano Ronaldo's current club is Al Nassr FC."
Which country is currently at the top rank at the FIBA Men's World Ranking?,United States,I have no idea.
What is Croatia's current national currency?,Euro,Croatia's current national currency is the euro.
How many member states are there in the Eurozone?,20,"As of October 2023, there are 20 member states in the Eurozone."
Who is the current leader of al-Qaeda?,Saif al-Adel,I have no idea.
What country became the latest country to adopt the Euro?,Croatia,"Croatia became the latest country to adopt the Euro on January 1, 2023."
Tom Brady holds the NFL's single-season record for completions by successfully throwing how many passes?,490,Tom Brady holds the NFL's single-season record for completions by successfully throwing 485 passes in the 2021 season.
How many vehicle models does Tesla offer?,6,"Tesla offers four vehicle models: Model S, Model 3, Model X, and Model Y."
Which country won the latest World Pastry Cup?,Japan,I have no idea.
What is the largest lottery jackpot for a single ticket in history?,$2.04 billion Powerball jackpot,"The largest lottery jackpot for a single ticket in history is $2.04 billion, won in the Powerball drawing on November 7, 2022."
How many World Series titles have the Houston Astros won?,two,"As of 2023, the Houston Astros have won two World Series titles."
Which country recently had many people killed and injured in a crowd crush during Halloween festivities?,South Korea,I have no idea.
Which famous soccer player of Brazil passed away recently?,PelÃ©,"Pelé, the famous soccer player from Brazil, passed away recently."
Who is the most recent woman to become President of Peru?,Dina Boluarte,"Dina Boluarte became the President of Peru on December 7, 2022, making her the most recent woman to assume the office."
Which country has been invading Ukraine?,Russia,Russia has been invading Ukraine.
Whom did Magnus Carlsen most recently accuse of cheating in chess?,Hans Niemann,Magnus Carlsen most recently accused Hans Niemann of cheating in chess.
Who is the English monarch?,King Charles III,I have no idea.
What club does Lewandowski play for?,Barcelona,"As of October 2023, Robert Lewandowski plays for FC Barcelona."
Who was the last person to buy Twitter?,Elon Musk,Elon Musk was the last person to buy Twitter in October 2022.
What company invented a way to speed up matrix multiplication via AI?,Google DeepMind,Google DeepMind invented a way to speed up matrix multiplication via AI.
Who is the LA county sheriff?,Robert Luna,I have no idea.
How many Women's Rugby World Cup titles has New Zealand won?,six,New Zealand has won six Women's Rugby World Cup titles.
How many total Nazca geoglyphs have been discovered so far?,358,"As of now, over 800 Nazca geoglyphs have been discovered."
What is the most expensive page of a comic book ever sold at auction?,"Original artwork of Spider-Man in a black suit, by Mike Zeck","The most expensive page of a comic book ever sold at auction is page 25 from ""The Amazing Spider-Man"" No. 11, which sold for $3.36 million in January 2022."
Where was the world's oldest DNA found?,Greenland,The world's oldest DNA was found in Greenland.
Which team holds the record for largest deficit overcome to win an NFL game?,Minnesota Vikings,"The Buffalo Bills hold the record for the largest deficit overcome to win an NFL game, overcoming a 32-point deficit against the Houston Oilers in the 1993 AFC Wild Card game."
What is Amazon Prime Video's most watched premiere ever?,The Lord of the Rings: The Rings of Power,"As of now, ""The Lord of the Rings: The Rings of Power"" holds the record as Amazon Prime Video's most watched premiere ever."
What is the name of Indonesia's future capital city?,Nusantara,The name of Indonesia's future capital city is Nusantara.
When will be the next common year starting on Saturday?,2033,The next common year starting on Saturday will be 2028.
Who is the oldest Brazilian president at the time of inauguration?,Luiz InÃ¡cio Lula da Silva,Michel Temer became the oldest person to assume the Brazilian presidency when he was inaugurated at the age of 75.
Who is the most recent female recipient of the Fields Medal?,Maryna Viazovska,"The most recent female recipient of the Fields Medal, as of my last update, is Maryna Viazovska in 2022."
How many FIFA World Cups has Argentina won?,3,"Argentina has won the FIFA World Cup three times, in 1978, 1986, and 2022."
Which is the most recent team to advance to consecutive FIFA World Cup finals?,France,"France is the most recent team to advance to consecutive FIFA World Cup finals, achieving this in 2018 and 2022."
What is the total height of the tallest building in the world?,829.8 m,"The total height of the tallest building in the world, the Burj Khalifa, is 828 meters (2,717 feet)."
The UN Secretary general is from which country?,Portugal,"The UN Secretary General, António Guterres, is from Portugal."
Which actress' husband is a partial owner of Mint Mobile?,Blake Lively,"Blake Lively's husband, Ryan Reynolds, is a partial owner of Mint Mobile."
Which country has President Joe Biden visited the most during his presidency so far?,United Kingdom,I have no idea.
What is the seating capacity of the largest stadium by capacity in the world?,"132,000","The seating capacity of the largest stadium by capacity in the world, Rungrado 1st of May Stadium in Pyongyang, North Korea, is approximately 114,000."
How many presidents of the United States have lost reelection?,10,Ten presidents of the United States have lost reelection.
Do Tesla and X Corp. have the same CEO?,No,"Yes, both Tesla and X Corp. have Elon Musk as their CEO."
In what city was the person currently acting as the U.S. speaker of house born?,"Shreveport, Louisiana",I have no idea.
Which was the first country to detect a case of mpox in the most recent outbreak?,DR Congo,The United Kingdom was the first country to detect a case of mpox in the most recent outbreak.
How many times has The PokÃ©mon World Championships been held in Asia?,one,The Pokémon World Championships have never been held in Asia.
Who has the most liked post on Instagram?,Lionel Messi,"As of October 2023, Lionel Messi holds the record for the most liked post on Instagram."
When was the most recent eruption of the world's largest active volcano?,"November 27, 2022 - December 13, 2022","The most recent eruption of the world's largest active volcano, Mauna Loa, occurred on November 27, 2022."
How many active players have won at least five ATP Finals singles titles?,1,"As of October 2023, one active player, Novak Djokovic, has won at least five ATP Finals singles titles."
Who directed the most films in the top 15 highest-grossing films of all time?,James Cameron,James Cameron directed the most films in the top 15 highest-grossing films of all time.
Who bought the most expensive 20th century artwork sold in a public sale?,Larry Gagosian,I have no idea.
How many flights of the Space Launch System have been successfully launched?,1,"As of October 2023, the Space Launch System (SLS) has been successfully launched once."
What is the best ever result by an African team at a FIFA World Cup?,fourth-place,"The best ever result by an African team at a FIFA World Cup is reaching the quarter-finals, achieved by Cameroon in 1990, Senegal in 2002, and Ghana in 2010."
What was the first animal to orbit the Earth?,Laika,"The first animal to orbit the Earth was Laika, a Soviet space dog."
What is the largest model size of GPT-3?,175 billion parameters,The largest model size of GPT-3 has 175 billion parameters.
Which country has a red flag with one yellow star?,Vietnam,The country with a red flag featuring one yellow star is Vietnam.
What city was connected with the earliest cases of COVID-19?,Wuhan,"Wuhan, China was connected with the earliest cases of COVID-19."
What country has the most similar flag to that of Romania?,Chad,"Moldova has a flag that is most similar to that of Romania, featuring the same blue, yellow, and red vertical stripes with an additional emblem in the center."
What state is known as the Aloha State?,Hawaii,Hawaii is known as the Aloha State.
In what year will Google celebrate its 30th birthday?,2028,Google will celebrate its 30th birthday in 2028.
Where did Jeff Dean get his Ph.D. from?,University of Washington,Jeff Dean received his Ph.D. from the University of Washington.
What is the largest mammal in the world?,blue whale,The largest mammal in the world is the blue whale.
What is the tallest mountain in Alaska?,Mount Denali,The tallest mountain in Alaska is Denali.
What breed of dog was Queen Elizabeth II of England famous for keeping?,Corgi,Queen Elizabeth II of England was famous for keeping Pembroke Welsh Corgis.
What class of beer is top-fermenting?,ales,The class of beer that is top-fermenting is ale.
Which country won the 2017 Eurovision Song Contest?,Portugal,Portugal won the 2017 Eurovision Song Contest.
What year did Intel go public?,1971,Intel went public in 1971.
Who wrote the book titled Orientalism?,Edward W. SaÃ¯d,The book titled Orientalism was written by Edward Said.
Sandstones are categorized into what type of sedimentary rocks?,clastic,Sandstones are categorized as clastic sedimentary rocks.
"Did Queen Elizabeth II visit Rhode Island, USA?",Yes,"Queen Elizabeth II visited Rhode Island, USA, in 1976."
"In Greek mythology, what is the name of Menelaus' wife?",Helen of Troy,"In Greek mythology, Menelaus' wife is named Helen."
Who won the 2020 Formula 1 world driver's championship?,Lewis Hamilton,Lewis Hamilton won the 2020 Formula 1 World Driver's Championship.
What was the real name of the Unabomber?,Ted Kacsynzki,The real name of the Unabomber was Theodore John Kaczynski.
What are the starter pokemon available in Pokemon Diamond?,"Turtwig, Chimchar, and Piplup","The starter Pokémon available in Pokémon Diamond are Turtwig, Chimchar, and Piplup."
Where did the first atomic bomb test take place in the United States?,"Jornada del Muerto Desert, New Mexico",The first atomic bomb test in the United States took place at the Trinity test site in the New Mexico desert.
How many lungs do slugs have?,1,Slugs have one lung.
On what date did the Berlin Wall fall?,9-Nov-89,"The Berlin Wall fell on November 9, 1989."
On what date did Elvis Presley die?,16-Aug-77,"Elvis Presley died on August 16, 1977."
Which Polish president died in a plane crash near Smolensk?,Lech KaczyÅski,"Lech Kaczyński, the Polish president, died in a plane crash near Smolensk."
What year did Japan bomb Pearl Harbor?,1941,Japan bombed Pearl Harbor in 1941.
When did David Bowie die?,2016,"David Bowie died on January 10, 2016."
