"Question","Answer","base_response"
"Mick Carter is the landlord of a public house located at what address?","46 Albert Square, Walford, London E20","Mick Carter is the landlord of the Queen Vic located at Albert Square, Walford, London."
"What is the shared country of ancestry between Art Laboe and Scout Tufankjian?","Armenian","Armenia is the shared country of ancestry between Art Laboe and Scout Tufankjian."
"How many Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in?","33","I have no idea."
"How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?","4,613","The quick service restaurant chain that Ron Joyce helped found, Tim Hortons, comprises over 4,800 restaurants worldwide."
"What type of film are both ""500 Years Later"" and ""Manson""?","documentary","Both ""500 Years Later"" and ""Manson"" are documentary films."
"What professions did S. Sylvan Simon and Danny Cannon have in common?","director and producer","S. Sylvan Simon and Danny Cannon both worked as film directors."
"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York","The academy for which Joseph D. Stewart was appointed Superintendent is located in Kings Point, New York."
"Luke Null is an actor who was on the program that premiered its 43rd season on which date?","30-Sep-17","Luke Null was on the program ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017."
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?","World War II","The Azad Hind Dal was created by Indian nationalist Subhas Chandra Bose during World War II."
"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?","IK Start","Viking won the 2011 La Manga Cup by beating IK Start, a Norwegian football club from Kristiansand."
"Which band has released the most studio albums, Blonde Redhead or Rob Zombie's band White Zombie?","Blonde Redhead","Blonde Redhead has released nine studio albums, while White Zombie released four studio albums."
"Where was the movement that August Brancart published literature from centerd?","Western Europe","The movement that August Brancart published literature from was centered in Brussels, Belgium."
"Stephen susco wrote a movie produced by which american film actor?","Sam Raimi","Stephen Susco wrote the movie ""The Grudge,"" which was produced by American film actor Sam Raimi."
"are the documentaries Out of Place and The Mosuo Sisters by the same director ?","no","Yes, both documentaries ""Out of Place"" and ""The Mosuo Sisters"" are directed by Marlo Poras."
"Watercliffe Meadow Primary Schools name change is an example of what term generally used to describe the avoidance of certain language?","political correctness","Watercliffe Meadow Primary School's name change is an example of political correctness."
"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?","650 locations","BJ's Wholesale Club was operating in approximately 180 locations as of early 2008."
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?","1950","The American healthy lifestyle magazine ""Prevention,"" to which Georgia Rickard has contributed, was started in 1950."
"Thomas Matthew ""Tom"" Chappell co-founded a commpany in 1970 that manufactures what products?","natural-ingredients-only personal care products","Thomas Matthew ""Tom"" Chappell co-founded Tom's of Maine in 1970, a company that manufactures personal care products."
"What type of beliefs does Mount Ida and Rhea have in common?","Greek mythology","I have no idea."
"Where does the story take place in 1988 film The Moderns?","1926 Paris","The story of the 1988 film ""The Moderns"" takes place in Paris."
"Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?","Orson Welles","Angelo Francesco Lavignino scored the 1965 film ""Rage"" which was directed by and starred Glenn Ford."
"What three categories does income get levied under the Parliament of Australia's tax code?","""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","Income in the Parliament of Australia's tax code is levied under three categories: personal income tax, corporate income tax, and capital gains tax."
"Scout Tufankjian and Daron Malakian are both what?","Armenian-American","Scout Tufankjian and Daron Malakian are both of Armenian descent."
"Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?","Howard Melvin Fast","Howard Fast wrote under the pen name Walter Ericson."
"Edmund Robert Harris is the principal benefactor of a museum located where ?","Preston","Edmund Robert Harris is the principal benefactor of a museum located in Preston, Lancashire."
"Were Illinois Institute of Technology and Boise State University both bounded before 1950?","yes","Yes, both Illinois Institute of Technology and Boise State University were founded before 1950."
"Erwin Lambert was a member of which paramilitary organization under Hitler?","Schutzstaffel","Erwin Lambert was a member of the SS paramilitary organization under Hitler."
"Michael Pollock was was a senior officer in the United Kingdom's naval warfare force, also known as the what?","Royal Navy","Michael Pollock was a senior officer in the United Kingdom's naval warfare force, also known as the Royal Navy."
"What is the population of the city at which the transmitter of WLLZ-LP was placed? ","143,372","The population of the city where the transmitter of WLLZ-LP was placed is approximately 21,813, as it is located in Monroe, Michigan."
"Who is descended from William, 4th Lord Livingston and was a statesman from New York City? ","Philip Livingston","Hamilton Fish is descended from William, 4th Lord Livingston and was a statesman from New York City."
"Padosan had a supporting actor who is known as a successful playback singer in what language?","Hindi","Kishore Kumar, a supporting actor in Padosan, is known as a successful playback singer in Hindi."
"Macclesfield Town F.C. plays in the league sponsored by whom?","Vanarama","Macclesfield Town F.C. plays in the North West Counties Football League, which is sponsored by Macron."
"What song by the American rapper Coolio is on his greatest hits album ""Fantiastic Voyage"" and samples from a Stevie Wonder song?","Gangsta's Paradise","The song ""Gangsta's Paradise"" by Coolio is on his greatest hits album ""Fantastic Voyage"" and samples from Stevie Wonder's song ""Pastime Paradise."""
"Who was the eldest brother of the Mexican drug trafficker born 12 March 1952?","Francisco Rafael Arellano FÃ©lix","I have no idea."
"In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?","Campbellsville University","Richard Williams' former assistant is a member of the Athletics Hall of Fame at Mississippi State University."
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?","1851","Marvel Classics Comics adapted Herman Melville's novel ""Moby-Dick,"" which was originally published in 1851."
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?","1932","I have no idea."
"The third emperor in the Year of the Four Emperors had how many wives? ","second","The third emperor in the Year of the Four Emperors, Vitellius, had two wives."
"Keanu is a 2016 American action comedy film directed by Peter Atencio and written by who?","Jordan Peele","Keanu is written by Jordan Peele and Alex Rubens."
"Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?","Franconia, New Hampshire","The seminar Jeanne Marie Beaumont directed from 2007-2010 was located at the 92nd Street Y in New York City."
"What is the name of the father of Childericus?","Merovech","The name of the father of Childericus (Childeric I) is Merovech."
"Immanuel Lutheran School is affiliated with the denomination that has how many members?","2.1 million","Immanuel Lutheran School is often affiliated with the Lutheran denomination, specifically the Lutheran Church-Missouri Synod (LCMS), which has approximately 1.8 to 2 million members."
"in the 2004 Hockey film produced by a former major league baseball pitcher who played the USA coach?","Kurt Russell","In the 2004 hockey film ""Miracle,"" produced by former major league baseball pitcher Mark Ciardi, the USA coach Herb Brooks was played by Kurt Russell."
"Tamanchey is a comedy film that starred the actress who works in what type of films?","Hindi","I have no idea."
"Which star of ""Chalet Girl"" also appeared in ""The Treasure Seekers""?","Felicity Rose Hadley Jones","Felicity Jones, the star of ""Chalet Girl,"" also appeared in ""The Treasure Seekers."""
"Who currently has more store locations? Bearno's or Patxi's Chicago Pizza?","Bearno's Pizza","Bearno's currently has more store locations than Patxi's Chicago Pizza."
"Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?","Southern State Parkway","Bethpage State Parkway begins with an interchange at the Southern State Parkway in Long Island."
"At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?","fortnightly","The magazine, India Today, publishes weekly."
"Which plant genus has a longer common name, Myrtus or Eustoma?","Eustoma","Eustoma has a longer common name, ""lisianthus,"" compared to Myrtus, which is commonly known as ""myrtle."""
"Which Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua was one of eleven players to have played in the top divisions in Italy, Spain, England and Germany?","Obafemi Martins","Obafemi Martins is the Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua and was one of eleven players to have played in the top divisions in Italy, Spain, England, and Germany."
" Who was born first Doug Liman or Saul Metzstein?","Douglas Eric ""Doug"" Liman","Saul Metzstein was born first on December 30, 1966, while Doug Liman was born on July 24, 1965."
"Which band has more members, Kitchens of Distinction or Royal Blood?","Kitchens of Distinction","Kitchens of Distinction has more members than Royal Blood."
"Cistus and Stapelianthus are both forms of what?","flowering plants","Cistus and Stapelianthus are both forms of plants."
"An Cat Dubh / Into the Heart is a song from the U2 album released on what date?","20-Oct-80","An Cat Dubh / Into the Heart is a song from the U2 album released on October 20, 1980."
"What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?","Israeli Ambassador","I have no idea."
"What casino in Las Vegas which is now operated by MGM Resorts International was developed by William G. Bennett?","Excalibur Hotel and Casino","Circus Circus in Las Vegas was developed by William G. Bennett and is now operated by MGM Resorts International."
"Paul DeBoy is known for an appearance in the Western action-adventure game developed by which company?","Rockstar San Diego","Paul DeBoy is known for an appearance in the Western action-adventure game developed by Rockstar Games."
"What is the name of this New York based American investment management firm founded in 1982, whose co-CEO is Robert Mercer?","Renaissance Technologies","Renaissance Technologies is the name of the New York-based American investment management firm founded in 1982, whose co-CEO is Robert Mercer."
"Are Des Moines International Airport and Grand Canyon National Park Airport both major airline hubs?","no","No, neither Des Moines International Airport nor Grand Canyon National Park Airport are considered major airline hubs."
" The Canadian Hot 100 is a music industry record chart in Canada for for a song that is released separately from what?","an album","The Canadian Hot 100 is a music industry record chart in Canada for a song that is released separately from an album."
"Is Karjiang a mountain and Sherpi Kangri a mountain peak?","yes","Yes, Karjiang is a mountain and Sherpi Kangri is a mountain peak."
"Which one the cast members in the film Only Lovers Left Alive also played in Othello?","Tom Hiddleston","I have no idea."
"Stephen Graham starred in a film in 2006, directed by whom?","directed by Shane Meadows","Stephen Graham starred in a film in 2006 directed by Shane Meadows."
"Which member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005 was Kevin R. Henke most critical of? ","Russell Humphreys","Kevin R. Henke was most critical of Steven A. Austin in the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005."
"Psycho-physical Awareness was developed into an original and dependable method by a Russian-American actor who was referred to by Konstantin Stanislavski as what?","his most brilliant student","Psycho-physical Awareness was developed into an original and dependable method by a Russian-American actor who was referred to by Konstantin Stanislavski as ""the most brilliant actor in America,"" Michael Chekhov."
"What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?","Aubrey Posen","The name of the character portrayed by Anna Camp is Aubrey Posen."
"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?","Nusretiye Mosque","The Nusretiye Mosque is unique for retaining a Baroque style of architecture."
"What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?","The Los Angeles Dance Theater","I have no idea."
"What city that Lettuce Lake Park is just outside of is the largest in Hillsborough County, Florida? ","Tampa","The city that Lettuce Lake Park is just outside of and is the largest in Hillsborough County, Florida, is Tampa."
"Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?","Montejo v. Louisiana","Montejo v. Louisiana involved a waiver of the right to counsel."
"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?","Matthew Vaughn","I have no idea."
"In what year was the band, whose bassist joined Arvas in 1996, formed?","1992","The band Immortal, whose bassist joined Arvas in 1996, was formed in 1991."
"Which company does Timothy Oulton retail his products through that is based in Corte Madera?","Restoration Hardware","Timothy Oulton retails his products through the company Restoration Hardware, based in Corte Madera."
"In between Atsushi Ogata and Ralph Smart who graduated from Harvard College?","Atsushi Ogata","Atsushi Ogata graduated from Harvard College."
"The owner of radio station KWPW has the same name as an American character actor. What is it?","Bill McCutcheon","I have no idea."
"What game did the team with an 11-1 regular season record play in for the BCS title game?","2004 Nokia Sugar Bowl","I have no idea."
"What German medium tank, sometimes called the ""Mark V"", that was deployed on the Eastern and Western fronts from mid-1943 provided the armor and suspension for the chassis of the tank destroyer built by Nazi Germany during World War II?","The Panther","The German medium tank referred to as the ""Mark V"" is the Panther tank."
"Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in which American city in 1907?","Dallas","Abraham Lincoln Neiman and his wife Carrie Marcus Neiman co-founded Neiman Marcus with Carrie's brother Herbert in Dallas, Texas in 1907."
"Which show that premiered in May 2011 is hosted by someone with the birth name Richard Kirschner?","My Cat from Hell","The show that premiered in May 2011 and is hosted by someone with the birth name Richard Kirschner is ""Scam School."""
"Abraham Lokin was born on an archipelago between the Norwegian Sea and North Atlantic, that is about 200 miles north-northwest of where?","Scotland","Abraham Lokin was born on an archipelago about 200 miles north-northwest of Scotland."
"Do the bands named Phoenix and Shearwater specialize in the exact same genre?","no","I have no idea."
"Which former American football player had a part in the movie ""Gamer?""","Terry Crews","Former American football player Terry Crews had a part in the movie ""Gamer."""
"North Blenheim, New York was destroyed by flooding caused by the Hurricane that landed in what month?","11-Aug","North Blenheim, New York was destroyed by flooding caused by the Hurricane that landed in August."
"Who is older, Ivan Foster or Ian Paisley?","Ian Paisley","Ian Paisley was older than Ivan Foster."
"The founder of this Canadian owned, American manufacturer of business jets for civilian and military developed this portable tape system.","8-track","The founder of Bombardier Inc., Joseph-Armand Bombardier, developed the portable tape system known as the Ski-Doo snowmobile."
"Which American rock band was formed first, Soil or Drowning Pool?","Drowning Pool","Drowning Pool was formed first in 1996, while Soil was formed in 1997."
"What artistic endeavor do Fallujah and Dying Fetus have in common?","death metal band","Fallujah and Dying Fetus both engage in creating death metal music."
"Which Star of British-Canadian-American satirical comedy, co starting with Ricky Gervais, began his career in sketch comedy series""Full Frontal"" ?","Eric BanadinoviÄ","Mackenzie Crook, who co-starred with Ricky Gervais in ""The Office,"" began his career in the sketch comedy series ""Full Frontal."""
"Kevin Watson currently manages which Southern League football team?","Bishop's Stortford","I have no idea."
"What New York representative and politician was defeated by Alan Hevesi in 2002?","John Faso","Alan Hevesi defeated New York representative and politician David Paterson in 2002."
"What mixed martial arts even took place at a closed hotel and casino on the Boardwalk in Atlantic City, owned by Trump Entertainment Resorts?","The War of '04","The mixed martial arts event that took place at a closed hotel and casino on the Boardwalk in Atlantic City, owned by Trump Entertainment Resorts, was UFC 28."
"Li Yitong made her television debut on which network?","Dragon TV","Li Yitong made her television debut on Hunan TV."
"Who manufactured the scooter upon which the Bajaj Priya was based off of?","Piaggio","The Bajaj Priya was based off of a scooter manufactured by Piaggio."
"Cranium and Twin Tin Bots are both what?","games","Cranium and Twin Tin Bots are both board games."
"When did the author of the book One More River is based on win the Nobel Prize?","1932","I have no idea."
"Did the board game San Marco or About Time come out first?","San Marco","The board game ""San Marco"" came out first in 2001, while ""About Time"" was released in 2004."
"What type of veterinary specialist is the star veterinarian of The Bionic Vet?","neuro-orthopaedic","The star veterinarian of *The Bionic Vet* is a specialist in veterinary orthopedic surgery and prosthetics."
"Are both Helen Dunmore and M. P. Shiel of West Indian descent?","no","I have no idea."
"What is the nationality of the wrestler who sang on A Jingle with Jillian?","American","The wrestler who sang on A Jingle with Jillian, Jillian Hall, is American."
"EMU Australia is best known for their unisex style boots that are typically made of what?","Sheepskin","EMU Australia is best known for their unisex style boots that are typically made of sheepskin."
"Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of what animal?","duck","Hardley Flood supports populations of medium-sized waterfowl, which are a version of ducks."
"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atlantic City, New Jersey?","Tropicana Casino & Resort","Johnny Mathis: Wonderful Wonderful aired at the Borgata Hotel Casino & Spa in Atlantic City, New Jersey."
"What is the name of the popular shopping destination located close to the Taj Mahal and Agra Fort in India?","Sadar Bazaar","The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar."
"Which University was founded earlier, Pennsylvania State University or Queen's University?","Queen's University","Queen's University was founded earlier, in 1841, while Pennsylvania State University was founded in 1855."
"The wolf pack football team represented what university? ","University of Nevada, Reno","The Wolf Pack football team represents the University of Nevada, Reno."
"Adena Friedman was formerly the managing director and CFO of a company that specializes in what four key business areas?","corporate private equity, real assets, global market strategies, and investment solutions.","Adena Friedman was formerly the managing director and CFO of Carlyle Group, a company that specializes in corporate private equity, real assets, global market strategies, and investment solutions."
"How many consecutive years had the Serie A been comprised of 18 teams when Hernan Crespo got injured?","15th consecutive","I have no idea."
"Which ground force of the Austro-Hungarian Dual Monarchy did Jan Romer joined ","The Austro-Hungarian Army","Jan Romer joined the Austro-Hungarian Army."
"The county that the community of Milltown, Montana is part of was founded in which year?","1860","Missoula County, where Milltown, Montana is located, was founded in 1860."
"Are PC Magazine and Sculptural Pursuit both technology publications?","no","No, PC Magazine is a technology publication, but Sculptural Pursuit is an art magazine focused on sculpture."
"Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?","the world No. 1 for the first time","Serena Williams is more accomplished than Mariaan de Swardt in her tennis career due to her 23 Grand Slam singles titles compared to De Swardt's zero."
"Jennifer Gordon received a bachelor of arts degree from which women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College?","Radcliffe College","Jennifer Gordon received a bachelor of arts degree from Radcliffe College."
"Who created the manga series originally serialized from 1994-1995with a superheroine?","Tonde Burin","Naoko Takeuchi created the manga series ""Pretty Soldier Sailor Moon,"" originally serialized from 1991 to 1997, featuring a superheroine."
"Which documentary was filmed first, Almost Sunrise or Hail! Hail! Rock 'n' Roll?","Hail! Hail! Rock 'n' Roll","Hail! Hail! Rock 'n' Roll was filmed first, as it was released in 1987, whereas Almost Sunrise was released in 2016."
"What creature of American folklore gained notoriety in 1964?","Dewey Lake Monster","The creature of American folklore that gained notoriety in 1964 is the Mothman."
"What profession do Raj Kapoor and Mike Cahill share?","director","Raj Kapoor and Mike Cahill both share the profession of being film directors."
"The actress who played Laurie Keller in the episode ""Pilot"" of the show Cougartown won what award in 2011?","Critics' Choice Television Award for Best Supporting Actress in a Comedy Series","The actress Busy Philipps, who played Laurie Keller, won the Critics' Choice Television Award for Best Supporting Actress in a Comedy Series in 2011."
"What year was the Argentine singer and actor who both directed and starred in El Tio Disparate born?","1942","The Argentine singer and actor Hugo del Carril, who directed and starred in El Tío Disparate, was born in 1912."
"Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?","John AndrÃ©","John André was hung for assisting the attempted surrender of West Point by the defector Benedict Arnold to the British Army."
"In what basketball position does the brother of Saulius Kuzminskas play?","small forward","I have no idea."
"What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?","business district","Downtown Bentonville is a commercial and cultural district located in Arkansas, a state in the southeastern region of the United States."
"What is the name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated?","Rwandan genocide","The name of the genocidal mass slaughter of Tutsi in Rwanda, in which Cyprian and Daphrose Rugamba were assassinated, is the Rwandan Genocide."
"Which fictional MI6 agent is a fictional character created by the British journalist and novelist Ian Fleming in 1952?","Commander James Bond RN","James Bond is the fictional MI6 agent created by Ian Fleming in 1952."
"Kenneth Arnold reported the first unidentified object sighting in what city and state in 1947?","Mount Rainier, Washington","Kenneth Arnold reported the first unidentified object sighting near Mount Rainier, Washington, in 1947."
"Where are Neoregelia and Aloysia known to grow","temperate climates,","Neoregelia is known to grow in tropical regions, particularly in South America, while Aloysia is commonly found in North and South America."
"In what county is The Third Fitzwilliam Meetinghouse located?","Cheshire County, New Hampshire","The Third Fitzwilliam Meetinghouse is located in Cheshire County, New Hampshire."
"Metro West Ambulance serves event support for the building in Portland formerly known as what?","Rose Garden","Metro West Ambulance provides event support for the building in Portland formerly known as the Rose Garden Arena."
"What is the population of the town that gets it's water supply from Canobie Lake?","28,776 at the 2010 census","I have no idea."
"What is the name of the company manged by Joseph Reiser based in Biel/Bienne, Switzerland?","Omega SA","I have no idea."
"What was the name of the first biography of BrontÃ« written by the author of Mary Barton?","Elizabeth Gaskell","The first biography of Brontë written by the author of Mary Barton was titled ""The Life of Charlotte Brontë."""
"What collegiate division does the team coached by P.W. Underwood play in?","Division I","I have no idea."
"What was the name of the alum by the Scorpions that contained one of their most famous songs written by Klaus Meine and Herman Rarebell?","Love at First Sting","The album by the Scorpions that contained one of their most famous songs, ""Rock You Like a Hurricane,"" written by Klaus Meine and Herman Rarebell is ""Love at First Sting."""
"Which band, Matthew Good Band or Switchfoot is still together?","Switchfoot","Switchfoot is still together."
"Which is a university in Pennsylvania, University of New Haven or Carnegie Mellon University?","Carnegie Mellon University","Carnegie Mellon University is a university in Pennsylvania."
"What is the name of the fashion label that the founder of the Faena Arts Center founded in 1985?","Via Vai","The name of the fashion label founded by the founder of the Faena Arts Center in 1985 is Via Vai."
"What is the call sign of the airline that operates the flight with United Express Flight 3411 incident?","Brickyard","The call sign for the airline that operated United Express Flight 3411 during the incident is ""UAL,"" which stands for United Airlines."
"What are the names of the co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks?","Charles and Thomas Guard","The psychological horror film starring Emily Browning and Elizabeth Banks, ""The Uninvited,"" was co-directed by Charles Guard and Thomas Guard."
"""Aroma-scope"" used in Spy Kids 4 is reminiscent of what marketing gimmick used in Polyester in 1981?","""Odorama""","""Aroma-scope"" used in Spy Kids 4 is reminiscent of the ""Odorama"" scratch-and-sniff cards used in Polyester in 1981."
"Did the host of Splash! win a gold, silver, or bronze Olympic medal?","bronze","The host of *Splash!*, Vernon Kay, did not win a gold, silver, or bronze Olympic medal."
