question,answer
Do writers J. M. Barrie and Oliver La Farge have the same nationality?,"La Farge Land Office; La Farge Land Office, also known as Orleans Hotel, is a historic commercial building located at Orleans in Jefferson County, New York."
What was the location of the international competition in which Fiona Themann participated in 2015? ,"Ju Anqi; Ju Anqi (, born 1975) is a Chinese film director and multi-media artist."
"What do both ""Tickle"" and ""Moonshiners"" have in common?","Steven Ray Tickle; Steven Ray Tickle, usually referred to as simply ""Tickle"", is an American television personality, known for his role in Discovery Channel docudramas ""Moonshiners"" and ""Tickle""."
Where was the university at which Flatliners was shot located? ,"Hepner–Bailey Field at Adamson Stadium; Hepner–Bailey Field at Adamson Stadium is an American football stadium, located in California, Pennsylvania."
Blodhemn is the fourth studio album by an extreme metal band formed in what year?,"George Fisher (musician); George ""Corpsegrinder"" Fisher (born July 8, 1969) is an American extreme metal vocalist for the American death metal band Cannibal Corpse, the lesser-known melodic death metal band Paths of Possession, and the lesser-known extreme metal supergroup Serpentine Dominion."
Neofelis and the Sunda clouded leopard are indigenous to what area? ,"Neofelis diardi diardi; Neofelis diardi diardi is a subspecies of the Sunda clouded leopard (""Neofelis diardi"") native to the Batu and Sumatran islands of Indonesia."
Which country houses places of worship known as pagodas and is the 14th most populous country? ,"Charles Barry; Sir Charles Barry (23 May 1795 �?12 May 1860) was an English architect, best known for his role in the rebuilding of the Palace of Westminster (also known as the Houses of Parliament) in London during the mid-19th century, but also responsible for numerous other buildings and gardens."
Bonaventure was part of a fleet that faced a Spanish fleet commanded by who?,"Battle of Barcelona; The Naval battle of Barcelona was a naval engagement of the Franco-Habsburg War fought off Barcelona from 29 June to 3 July 1642 between a Spanish fleet commanded by Juan Alonso Idiáquez, Duke of Ciudad Real, and a French fleet under Jean Armand de Maillé-Brézé, Duc de Fronsac."
What English actress was cast in Star Wars and Scrawl?,"Star Wars Weekends; ""Star Wars"" Weekends was a festival held annually at the Disney's Hollywood Studios theme park of the Walt Disney World Resort."
"Which tennis player is from a country closer to Canada, Marc Rosset or Travis Parrott?","Travis Parrott; Travis Parrott (born August 16, 1980 in Portland, Oregon) is an American professional ATP tennis doubles player."
What are the middle names of the candidate for whom Robby Mook was campaign manager in the 2016 US election ?,Manouchehr Mottaki; Manouchehr Mottaki (Persian: منوچهر متکی�?�?; born 12 May 1953) is an Iranian politician and diplomat.
Bob Boone is the son of a major league player born in which year ?,Steve Falteisek; Steven James Falteisek is a former Major League Baseball pitcher.
What do  Naser Mestarihi and Sarah Cracknell have in common?,Instinct Records; Instinct Records is a New York City electronic-music record label that first gained prominence in 1989.
"Who was born first, Ben Moore of Audra McDonald?","Frank Harts; Frank Harts is an American film, television, and theatre actor."
Where was the event located where Dominick Cruz lost?,"Gran Markus Jr.; Cándido Robles Cruz (born August 14, 1953) is a retired Mexican ""Luchador"", or professional wrestler ."
Are Matthew Nelson and Kenny Greene both American?,"Vacationer (band); Vacationer is an American band based out of Philadelphia, Pennsylvania and Brooklyn, NY."
"Where was the Nigerian international footballer, born March 24, 1985 born?",Justin Onwudiwe; Justin Maxwell Onwudiwe was a former Nigerian international footballer.
Nightcall was used in the film that included the actress that made her debut in what 2004 play?,"Nightcall (song); ""Nightcall"" is a song by French electro house artist Kavinsky, released in 2010."
"The town Alan Barnes was born in is located where, relative to the River Mersey?",Widnes; Widnes is an industrial town in the unitary authority of Halton and the ceremonial county of Cheshire in Northwest England.
Are The Dodos and Polvo both noise rock bands?,"Flipper (band); Flipper is an American rock band formed in San Francisco, California in 1979, continuing in often erratic fashion until the mid-1990s, then reuniting in 2005."
"What river is the shipyard that built the USS ""Natchez"" located on?",SLKB Komarno (Komárno) �?Slovak Shipyard Komárno; SLKB Komarno is a Slovak shipbuilding company which was founded at the end of the 19th century.
Who is olderNate Albert or Forrest Kline ?,"Forrest Kline; Forrest Scott Kline (born November 7, 1983, in Ashland, Oregon) is an American musician, songwriter, lead singer, and guitarist."
"The Angel was sung by Springsteen, who sung a song covered by which band in 1973?","Rosalita (Come Out Tonight); ""Rosalita (Come Out Tonight)"" is a 1973 song by Bruce Springsteen, from his ""The Wild, the Innocent & the E Street Shuffle"" album, and is especially famed as a concert number for Springsteen and The E Street Band."
a town in Buncombe County is home to a college of which religion?,"Walker Falls; Walker Falls is a 45-foot cascading waterfall in Buncombe County, North Carolina."
"Which dog originated farther west, Tibetan Mastiff or Standard Schnauzer?","Tibetan Mastiff; The Tibetan Mastiff is a large Tibetan dog breed (""Canis lupus familiaris"")."
What other name did a song have that was written by Peter Wilhousky and sung on the Shcedry Vechir?,"Carol of the Bells; ""Carol of the Bells"" is a popular Christmas carol composed by Ukrainian composer Mykola Leontovych in 1914 with lyrics by Peter J. Wilhousky."
The Aloha Bowl featured a player on the NFL's list of what?,"Oahu Bowl; The Oahu Bowl is a now defunct National Collegiate Athletic Association Football Bowl Subdivision (then known as Division I-A) bowl game played in Honolulu, Hawaii at Aloha Stadium."
The Chemical Biological Incident Response Force is a unit that is based in what county in Maryland?,"Incident commander; The incident commander is the person responsible for all aspects of an emergency response; including quickly developing incident objectives, managing all incident operations, application of resources as well as responsibility for all persons involved."
What do artists Bill Kaulitz and Christina Booth have in common?,"Bill Kaulitz; Bill Kaulitz (born September 1, 1989), also known mononymously as Billy (stylized as BILLY) for his solo act, is a German singer, songwriter, voice actor, designer, and model."
The serial killer who's life inspired Killer: A Journal of a Murder claimed to have committed how many murders?,"Ángel Maturino Reséndiz; Angel Maturino Reséndiz (August 1, 1959June 27, 2006), aka The Railroad Killer/The Railway Killer/The Railcar Killer, was an itinerant Mexican serial killer responsible for as many as 15 murders across the United States and Mexico during the 1990s."
What author includes clips from an English historian in his song?,The Timeless Collection Vol. 1; The Timeless Collection Vol.
Who is this German composer and musician of the Baroque period who composed this cantana in Leipzig in 1724 with only a few dozens of measures of aria in existence?,Johann Sebastian Bach; Johann Sebastian Bach (31 March [O.S. 21 March] 1685 28 July 1750) was a German composer and musician of the Baroque period.
"What American YouTube personality was involved in the collaboration on ""The Station""?","Joey Graceffa; Joseph Michael Graceffa ( ; born May 16, 1991) is an American YouTube personality, actor, author, producer, and singer."
"Blind Dating is a 2006 romantic comedy starring a British-American actress who appeared in Live and Let Die, and earned two of what award?",Cyrano Agency; Cyrano Agency (; lit.
From which Real Madrid captain does Kalle Mäkinen get his nickname?,"Real Madrid TV; Real Madrid TV is a free Digital television channel, operated by Real Madrid specialising in the Spanish football club."
What famous Phillip created an animated TV series about the Binsford family?,"Christopher Jones (comics); Christopher Jones (born October 14, 1969) is an American comic book artist living in Minneapolis, Minnesota."
What is the population of the country where Chenanisuchus was discovered?,"Kanna, Gunma; Kanna (神流�?, Kanna-machi ) is a town located in Tano District of southwestern Gunma Prefecture in the northern Kantō region of Japan."
When was the author of a report that examined the link between black poverty and family structure in 1965 born?,Parental portrayals in the media; The portrayal of the family structure in the media is important because the media reinforces different gender stereotypes in society today.
Stephen Adamini served as a member of the Northern Michigan University Board of Trustees under recommendation of which Governor who served from 2003-11?,"Northern Michigan Wildcats; The Northern Michigan Wildcats are the athletic teams that represent Northern Michigan University, located in Marquette, Michigan, in NCAA intercollegiate sporting competitions."
"Donald Charles Baldwin achieved significant commercial success with recordings he wrote, arranged and performed for a record company whose name is the same as a poem published in what year?","Oliver Goldsmith (Canadian poet); Oliver Goldsmith (1794�?861) was a Canadian poet born in St. Andrews, New Brunswick."
"What book story was published first, A Special Providence, or Revolutionary Road?","Planet of the Symbiotes; ""Planet of the Symbiotes"" is a five-issue comic book story arc written by David Michelinie and published by Marvel Comics in 1995."
What is the approximate population of the city in which Ming-yang Yang was born ?,"Little Downham; Situated in the east of Cambridgeshire, the village of Little Downham is located just 3 mi north of the city of Ely."
Stelarc is an artist who was from the suburb of the most populous city in what Australian state?,"Demographics of Brisbane; Brisbane ( ) is the capital of and most populous city in the Australian state of Queensland, and the third most populous city in Australia."
What author known as Robert Galbraith wrote the fourth Harry Potter book?,"A Very Potter Sequel; A Very Potter Sequel (often shortened to AVPS) is a musical with music and lyrics by Darren Criss and a book by Matt Lang, Nick Lang, and Brian Holden."
Who was the mother of a retired British Army officer born in 1939?,"Adrian Carton de Wiart; Lieutenant General Sir Adrian Paul Ghislain Carton de Wiart (5 May 1880 �?5 June 1963) was a British Army officer born of Belgian and Irish parents, and recipient of the Victoria Cross, the highest military decoration awarded for valour ""in the face of the enemy"" in various Commonwealth countries."
What number highest peak in Maine does Carrabassett River rise near?,"USS Carrabasset; Two ships of the United States Navy have borne the name USS ""Carrabasset"", in honor of the Carrabassett River, a stream in Franklin County and Somerset Counties, Maine."
"What company provided visual effects for both ""Battlestar Galactica"" and an attraction starring Micheal Jackson?","Battlestar Galactica (2004 TV series); Battlestar Galactica (BSG) is an American military science fiction television series, and part of the ""Battlestar Galactica"" franchise."
"As of March 2016, what is the largest bank without capital stock that is owned by its members who subscribe to a common fund?","Mehraj Mattoo; Mehraj Mattoo (महरा�?मट्ट�?) is a British investment banker, economist and author; currently a Senior Fellow at Harvard University."
Sister included the lead singer for what heavy metal band?,"Betsy (Bitch album); Betsy is a studio album by Betsy Weiss and members of L.A. heavy metal band Bitch, released in 1988 on Metal Blade Records."
"which eader of the notorious ""Stopwatch Gang"" of bank robbers was  Marilyn film based on ","Paddy Mitchell; Patrick Michael ""Paddy"" Mitchell (26 June 1942 - 14 January 2007) of Ottawa, Ontario, Canada, was leader of the notorious ""Stopwatch Gang"" of bank robbers."
"Where did the actress who co-starred in Thoroughly Modern Millie with Julie Andrews, Mary Tyler Moore, James Fox, John Gavin and Beatrice Lillie study acting?","Mary (1985 TV series); Mary is an American sitcom that aired on CBS from December 11, 1985, to April 8, 1986."
Guy Marks appeared regularly on the show that was on which network?,"The John Forsythe Show; The John Forsythe Show began as a situation comedy in the fall of 1965 on NBC, but at mid-season it switched to a spy show."
"Who lived longer, Ara Berberian or Paul Motian?",Europe (Paul Motian album); Europe is an album by Paul Motian and the Electric Bebop Band released on the German Winter & Winter label in 2000.
"Violetta Villas was the first star of the ""Casino de Paris"" in what American city?","Casino de Paris; The Casino de Paris, located at 16, rue de Clichy, in the 9th arrondissement, is one of the well known music halls of Paris, with a history dating back to the 18th century."
In what country would find Yıldız Park and the  Eyüp Sultan Mosque?,"Yıldız Hamidiye Mosque; The Yıldız Hamidiye Mosque (Turkish: ""Yıldız Hamidiye Camii"" ), also called the Yıldız Mosque (Turkish: ""Yıldız Camii"" ), is an Ottoman imperial mosque located in Yıldız neighbourhood of Beşiktaş district in Istanbul, Turkey, on the way to Yıldız Palace."
Who directed the film based on Philip Roth's twenty-ninth book?,The Plot Against America; The Plot Against America is a novel by Philip Roth published in 2004.
What profession does Mount Borodin and Alexander Borodin have in common?,"Stenka Razin (Glazunov); Stenka Razin, Op. 13, is a symphonic poem composed by Alexander Glazunov in 1885."
Who produces the series where Sarah Ann Kennedy voices Miss Rabiit?,"Sarah Cripps; Sarah Ann Cripps ( 1822 �?8 June 1892) was a New Zealand accommodation-house keeper, shopkeeper, postmistress and midwife."
Which of Pyrrosia and Celastrus has more species?,Celastrus orbiculatus; Celastrus orbiculatus is a woody vine of the Celastraceae family.
"The 2016 film Lion stars  Dev Patel, Rooney Mara, David Wenham and an actress that has received how many Golden Globe Awards?","Sunny Pawar; He is best known for his role as a younger Saroo Brierley in Garth Davis's ""Lion"" a 2016 Australian biographical film directed by Garth Davis and written by Luke Davies with Dev Patel, Rooney Mara, David Wenham, and Nicole Kidman."
"Who worked on multiple Cartoon Network projects, including an animated American superhero comedy and an animated coming-of-age television series? ",List of OK K.O.! Let's Be Heroes episodes; OK K.O.!
What Beatles song did The Assembled Multitude release an interpretation of in 1970?,"Love You To; ""Love You To"" is a song by the English rock band the Beatles from their 1966 album ""Revolver""."
"The actor that played Rubeus Hagrid in the ""Harry Potter"" films also appeared in a 1989 British historical drama that stars who in the title role?",Daniel Radcliffe; Daniel Jacob Radcliffe (born 23 July 1989) is an English actor best known for his role as Harry Potter in the film series of the same name.
Rundetaarn was a project started by the Duke of what localities?,"Zeal and Ardor; Zeal and Ardor is an avant-garde metal musical project started by Manuel Gagneux, a Swiss-American musician who had previously created a chamber pop project called Birdmask."
"Yuna is a studio album by what Malaysian singer-songwriter who was born and raised in Kedah and Selangor, and who began writing songs at age 14?","My Journey (Shila Amzah album); My Journey (stylized as ""MY JOURNEY"") is the sixth studio album and debut Chinese-language studio album by Malaysian singer-songwriter, Shila Amzah."
The 2013 Gobowling.com 400 was won by the driver of what number car?,"Winstaronlinegaming.com 400; The winstaronlinegaming.com 400 is an annual 250.5-mile (403.14 km) NASCAR Camping World Truck Series race held at the Texas Motor Speedway near Fort Worth, Texas."
Does the OGI School of Science and Engineering have more students than Youngstown State University?,"Youngstown State Penguins; The Youngstown State Penguins are the athletic teams of Youngstown State University of Youngstown, Ohio."
"Milton Rosenstock was an American conductor, composer and arranger who directed ""A Funny Thing Happened on the Way to the Forum"" which was written by whom? ","Milton Rosenstock; Milton Rosenstock (June 9, 1917, New Haven, Connecticut - April 24, 1992, New York City) was an American conductor, composer, and arranger."
What song written by Mac Davis before his solo career had a 2002 remix by Junkie XL?,"And Then We Kiss; ""And Then We Kiss"" is a song recorded by American singer Britney Spears."
"Which film was made first, The Finest Hours or Prom?","Keiko Utoku; Keiko Utoku (宇徳敬子 , ""Utoku Keiko"" , born April 7, 1967 in Izumi, Kagoshima, Japan) is a Japanese singer and songwriter under UK Sweet label.Keiko made first debut with chorus part in band B.B.Queens then joined with J-pop female band Mi-Ke from 1991 to 1993, before starting a solo career."
Kay B. Barrett brought to life a novel by Margaret Mitchell set where?,"Margaret Mitchell (Canadian politician); Margaret Anne Mitchell, OBC (née Learoyd; July 17, 1925 �?March 8, 2017) was a Canadian social activist and the New Democratic Party (NDP) Member of Parliament (MP) for Vancouver East from 1979 until 1993."
Which play was written by Larry Atlas and starred Richard Dreyfuss and John Heard?,"Larry Atlas; Larry Atlas (born 1948 Cleveland, Ohio) is the author of eight produced plays."
What area is the nine-storey shoppng cenre that Route 66 passes in? ,"Sayre Champlin Service Station; The Sayre Champlin Service Station is a historic service station located on old U.S. Route 66 in Sayre, Oklahoma."
What New York city located between New York City and Albany has a glacier named after Vassar College?,"Lovepump United Records; Lovepump United is an independent record label founded in 2004 by then - Vassar College students Jake Friedman and Mookie Singerman in Poughkeepsie, New York."
Which  American football coach and former player led 2013 Oregon State Beavers football team,1964 Oregon State Beavers football team; The 1964 Oregon State Beavers football team represented Oregon State University in the 1964 NCAA college football season.
"Richard Strand is best known for his research into what  language which has approximately 130,000 speakers primarily in Eastern Afghanistan and a few adjacent valleys in Pakistan?","Palula language; Palula (also spelt Phalura, Palola, Phalulo, and also known as Ashreti (""Aćharêtâʹ"") or ""Dangarikwar"", the name used by Khowar speakers) is a Dardic language spoken by approximately 10,000 people in the valleys of Ashret and Biori, as well as in the village of Puri (also Purigal) in the Shishi valley, and at least by a portion of the population in the village Kalkatak, in the Chitral District of Khyber Pakhtunkhwa province of Pakistan."
Are  Mr Hudson and Carina Round both British musicians?,All Re-Mixed Up; All Re-Mixed Up is a remix album by Puscifer.
Marian P. Opala was appointed to the Oklahoma Supreme Court by the governor who served the longest on what Senate committee?,"Russell M. Perry; Russell M. Perry is an American businessman, banker, publisher, and broadcaster from Oklahoma."
"Which congressional did the senator which the station in Dearborn is named after, serve?","Fort Dearborn Hotel; The Fort Dearborn Hotel is a skyscraper and former hotel located at 401 S. Lasalle St. in the Loop community area of Chicago, Illinois."
"Which American actor from the CBS television series ""Good Times"" (1974�?6) starred in the movie ""Lock up"" (1989)?","Ben Powers; Alton Adelbert Powers (July 5, 1950 �?April 6, 2015), known professionally as Ben Powers was an American actor."
What is another name for the unincorporated community in Putnam Township that is just a few miles southeast of the junction of M-106 and M-36?,"Oakland, Laclede County, Missouri; Oakland is an unincorporated community in Laclede County, in the Ozarks of southern Missouri."
What album did the song that Justin Hayward covered by the Beatles originally appear on?,"I Know You're Out There Somewhere; ""I Know You're Out There Somewhere"" is a 1988 single by the progressive rock band The Moody Blues."
Which American computer-animated buddy comedy road film is  Ice Age  game based on ,Free Birds; Free Birds is a 2013 American 3D computer-animated buddy comedy film about two turkeys traveling back in time to prevent Thanksgiving.
"What did the New York Times say in its review of the book A Simple Plan, which was also a thriller film directed by Same Raimi?","Sarah Ban Breathnach; Sarah Ban Breathnach (pronounced “Bon Brannock�?, is a best-selling author, philanthropist and public speaker."
"The producer of the film directed by John Dower, went to school with and worked on a film with what actor?",Peter Richardson (filmmaker); Peter Richardson is an American documentary film director.
KISS is an acronym that has been associated with the team leader of what?,John Tierney (rower); John Tierney is an American former rower from the United States.
Animal Farm starred which actress from Copenhagen?,"Benjamin (Animal Farm); Benjamin is a donkey in George Orwell's novel ""Animal Farm""."
 Manny Coto and Joseph Santley are both what?,Cover Up (1991 film); Cover Up is a 1991 political thriller film directed by Manny Coto starring Dolph Lundgren and Louis Gossett Jr..
What other name is the new bassist for Will Haven Chris Fehn known by?,Winter Kills (album); Winter Kills is the sixth studio album from American groove metal band DevilDriver.
Grand Admiral Thrawn is a character in what 3D CGI animated television series ,"Star Wars: The Clone Wars (2008 TV series); Star Wars: The Clone Wars is an American 3D CGI animated television series created by George Lucas and produced by Lucasfilm Animation with the division Lucasfilm Animation Singapore, Lucasfilm and CGCG Inc."
"Henry Dwight Holton was a physician from the medical department at the University of Vermont, which part of the country was this in?","Medical Service Corps; A Medical Service Corps is a kind of military corps found in branches of the United States Armed Forces that is formally designated to engage in supporting and administrating the provision of medical assistance to soldiers and their families, and to civilians in emergency situations."
What was the unfinished work of the Prussian general and military theorist who was associated with the theory of classical realism?,"August Otto Rühle von Lilienstern; August Otto Rühle von Lilienstern, born 1780, died 1847."
"Suck on This featured which American musician, singer, songwriter, composer, author and actor best known as the bassist and lead vocalist of the band Primus?","Myles Kennedy; Myles Richard Kennedy (born Myles Richard Bass; November 27, 1969) is an American musician, singer, and songwriter, best known as the lead vocalist and rhythm guitarist of the rock band Alter Bridge, and as the lead vocalist in guitarist Slash's backing band, known as Myles Kennedy and the Conspirators."
The university that Raevyn Rogers attends has a rivalry with which university located in the same state?,Michigan–Michigan State men's basketball rivalry; The Michigan–Michigan State basketball rivalry is a college basketball rivalry between Michigan Wolverines men's basketball and Michigan State Spartans men's basketball that is part of the larger intrastate rivalry between the University of Michigan and Michigan State University that exists across a broad spectrum of endeavors including their general athletic programs: Michigan Wolverines and Michigan State Spartans.
Do the bands My Morning Jacket and Mansun share band members?,Tom Blankenship; Tom Blankenship is an American rock musician.
What show was the special guest for the Symphony of Life concert series made prominent from?,Martin Luther King Jr. Concert Series; The Martin Luther King Jr.
Who did an Irish actress play in King Solomon's Mines,"Solomon (name); Solomon is a Hebrew-derived surname and given name; Sol as a given name is usually a form of ""Solomon""."
"Who denounced both the Soviet General, formerly also the People's Commissar for Communications of the USSR, and the military leader who served as chief of staff of the Red Army from 1925 through 1928?","Vladimir Kirpichnikov (general); Vladimir Vasilevich Kirpichnikov (Russian: Владимир Васильевич Кирпичников , 7 July 1903 �?10 October 1950) was a Soviet general of the Red Army."
"Justice League contains a member known as Barry Allen, also known as what?",Dan Riba; Daniel Esteban “Dan�?Riba (born 1960) is an American television storyboard artist and director of animated cartoons.
"Which magazine was published for a longer period of time, Reader's Digest or Galaxy Science Fiction?",Guided Tour (short story collection); Guided Tour is a collection of science fiction stories by Gordon R. Dickson.
"What nationality was the man who wrote ""The Discomfort Zone""?","Lebanese nationality law; Lebanese nationality law is the law governing the acquisition, transmission and loss of Lebanese citizenship."
"Bittersweet Home, along with a cover of George Michael's debut single, was released on what Limp Bizkit album?","Vlado Meller; Vlado Meller is an audio mastering engineer, currently mastering at Vlado Meller Mastering in Charleston, South Carolina."
"Reindeer are native to which regions of coniferous forests in Northern Europe, Siberia, and North America?","Humboldt's flying squirrel; Humboldt's flying squirrel (""Glaucomys oregonensis"") is one of three species of the genus ""Glaucomys"", the only flying squirrels found in North America."
"Bobby Hatfield sang the tenor part for which vocal duo, renowned for ""Unchained Melody""?","William Stirrat; William Albert Stirrat (November 5, 1919 �?July 2, 2004) was an imposter who claimed to use a pen name, ""Hy Zaret,"" as the lyricist of the hit ""Unchained Melody""."
"Which of the television sitcoms on which Larry Boelens worked originally ran on ABC from September 13, 1977 until April 20, 1981?","Paul J. Madigan; Paul Joseph Madigan (March 13, 1897 �?December 25, 1974) was the third warden of Alcatraz Federal Penitentiary, which was situated on Alcatraz Island, California, US."
The Wildfowl and Wetlands Trust was founded by a man who died in what year?,"WWT Caerlaverock; WWT Caerlaverock is wetland nature reserve in southwest Scotland, one of nine reserves in Britain operated by the Wildfowl and Wetlands Trust founded by Sir Peter Scott."
"What American actress starred in The Violator, as well as The Beguiled?","Shari Headley; Shari Headley (born July 15, 1964) is an American actress and former model."
What is the occupation of both Michel Boisrond and Don Coscarelli?,"Premier rendez-vous; Premier rendez-vous (US title: ""Her First Affair"") is a 1941 French comedy film starring Danielle Darrieux."
The Homer Central Schools school district is loated in what county?,"FAIR School; FAIR School Crystal (Fine Arts Interdisciplinary Resource) is a magnet school located in Crystal, Minnesota that specializes in the Fine Arts and educates students in the 4th through 8th grades."
"John O'Brien was a hostage during which crisis in 2014 that happened at the Lindt Cafe in Sydney, Australia?","John McCarthy (journalist); John Patrick McCarthy CBE (born 27 November 1956) is a British journalist, writer and broadcaster, and one of the hostages in the Lebanon hostage crisis."
"What is the middle name of the lead singer of the band featured in the concert film ""Pack up the Plantation Live!""?",King Biscuit Flower Hour Presents Streets; King Biscuit Flower Hour Presents Streets is a 1983 recording of a Streets concert.
What was the debut film of the actress from Oh Yaara Ainvayi Ainvayi Lut Gaya?,Shimla (actress); Shimla is a Bangladeshi film actress.
Are Franco Malerba and André Kuipers both astronauts?,Expedition 31; Expedition 31 was the 31st long-duration expedition to the International Space Station (ISS).
Who owns the news division of the American Broadcasting Company who has Walt Maciborski as an assistant producer? ,"ABC News; ABC News is the news division of the American Broadcasting Company (ABC), owned by the Disney Media Networks division of The Walt Disney Company."
Which Finnish Christmas figure is in modern representations typically made of straw?,Mangonada; Mangoneada or Chamango is a Mexican fruit drink.
The Mexican Cession led to the incorporation of which numbered state into the union?,List of state routes in New York; The following is a list of numbered state highways in the U.S. state of New York.
Are the Hydrangea and The Trachycarpus native to Asia?,"Hydrangea scandens; Hydrangea scandens is a species of ""Hydrangea"", native to southern Japan."
which road is very close to the village of Sandtoft?,"Sangao (Mardan District); Sangao is aa small village at the North West end of the Katlang area of District Mardan (North West Frontier Province, Pukhtunkhwa)."
Dr. Prof. Saleem H. Ali is a Blue and Gold Distinguished Professor of Energy and the Environment at a university with a main campus in what city?,"M. Shahid Qureshi; Dr. Prof. Muhammad Shahid Qureshi or Shahid Qureshi, styled as Dr. M. Shahid Qureshi, is a Pakistani astrophysicist and a renowned astronomer."
What American actor stared in both Man of the House and Home Improvement?,"Hubbard Cobb; Hubbard Cobb (August 5, 1917 �?September 27, 2006) was an American writer."
Were the Battle of Gettysburg and the Battle of the Bulge fought in the same war? ,"Granite Station; Granite Station was the first Gettysburg Railroad train station east of Gettysburg, Pennsylvania, until an American Civil War station for Camp Letterman was built near the Hunterstown Road for supplying the hospital for Battle of Gettysburg wounded."
"What was the record of the fifth head coach of team from Lubbock, Texas?",2014�?5 Charlotte 49ers men's basketball team; The 2014�?5 Charlotte 49ers men's basketball team represented the University of North Carolina at Charlotte during the 2014�?5 NCAA Division I men's basketball season.
Which Norwegian footballer's nephew plays for Slavia Prague?,DHC Slavia Prague; DHC Slavia Prague the Czech women's handball section of Czech omnisport club SK Slavia Prague.
What other names are there for the soldiers used in Operation Jungke,Lion Cubs; The Lion Cubs are a faction of child soldiers used by the Islamic State.
"What degrees do Ateneo de Davao University and University of Maryland, College Park have in common?","Lex Talionis Fraternitas; Lex Talionis Fraternitas, Inc."
