Question,Answer,extended_answer,base_response,is_hallucination
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""We'll Burn That Bridge"" was behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.","The song ""Chattahoochee"" was the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"" and topped the country charts for two weeks.",YES
"Which band has more members, Kitchens of Distinction or Royal Blood?",Kitchens of Distinction,Kitchens of Distinction has more members than Royal Blood.,Kitchens of Distinction has more members than Royal Blood.,NO
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,"Marion Greene was a health policy analyst for St. Judt Medical company, which had 20 principal operations worldwide.",I have no idea.,YES
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace, at which Columba de Dunbar died in 1435, was founded in the late 12th Century.",I have no idea.,YES
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"A hairdresser from Yorkshire, England invented a material called Starlite, which was named by his granddaughter.","A hairdresser from Yorkshire, England invented sticky-backed plastic, which was named by his granddaughter.",YES
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,Immanuel Lutheran School is affiliated with the denomination that has 2.1 million members.,"Immanuel Lutheran School is affiliated with the Lutheran denomination, which has approximately 3.3 million members within the Evangelical Lutheran Church in America (ELCA) and around 1.7 million within the Lutheran ChurchâMissouri Synod (LCMS) in the United States.",NO
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,43008,"Luke Null is an actor who was on the program that premiered its 43rd season on September 30, 2017.","Luke Null was on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.",NO
What type of beliefs does Mount Ida and Rhea have in common?,Greek mythology,Mount Ida and Rhea have in common the belief in Greek mythology.,"Mount Ida and Rhea are both associated with ancient Greek mythology and religious beliefs, particularly linked to the worship of the goddess Rhea.",NO
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,Sam Raimi produced the movie written by Stephen Susco.,Stephen Susco wrote a movie produced by American film actor Nicolas Cage.,YES
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,It took the Best New Artist of 2009 29 days to sell 2 million copies of an album in the UK and break a twenty year old record.,"It took Duffy, the Best New Artist of 2009, 39 days to sell 2 million copies of her album ""Rockferry"" in the UK and break a twenty-year-old record.",YES
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,"The American healthy lifestyle magazine, in which Georgia Rickard contributed, was started in 1950.",I have no idea.,YES
At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?,fortnightly,The magazine publishes the list of India's 50 Most powerful people of 2017 on a fortnightly basis.,"India Today, which ranked Aditya Puri #24th in India's 50 Most Powerful People of 2017 list, is published weekly.",YES
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.,NO
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards' first home venue in Kansas City was Arrowhead Stadium.,The Kansas City Wizards' first home venue was Arrowhead Stadium.,NO
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,Guns N' Roses performed the promo for the movie starring Arnold Schwarzenegger as a former New York Police detective in 1993.,YES
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast,Howard Melvin Fast was the novelist who wrote under the pen name Walter Ericson.,Howard Fast wrote under the pen name Walter Ericson.,NO
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel,"Erwin Lambert was a member of the Schutzstaffel, which was a paramilitary organization under Hitler.","Erwin Lambert was a member of the SS, the paramilitary organization under Hitler.",NO
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","The three categories that income gets levied under the Parliament of Australia's tax code are ""personal earnings"" (such as salary and wages), ""business income,"" and ""capital gains.""","Income in Australia is generally categorized for taxation under three main categories: personal income tax, corporate tax, and goods and services tax (GST).",NO
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,48982,"The Memphis Hustle are based in a suburb of a city with a population of 48,982 in 2010.","The Memphis Hustle are based in a suburb of Memphis, Tennessee, which had a population of 646,889 in 2010.",YES
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851,"The novel by American writer Herman Melville, which Marvel Classics Comics specialized in adapting, was published in 1851.","Marvel Classics Comics adapted Herman Melville's novel ""Moby-Dick,"" which was originally published in 1851.",NO
"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.","Gallery magazine is older than Dime Magazine as it arose on the ""Playboy"" magazine pattern in the 1970s.","Dime Magazine is older, first published in 1996, whereas Gallery magazine was first published in 1972.",YES
Are both Dafeng District and Dazhou located in the same province?,no,"No, both Dafeng District and Dazhou are not located in the same province.","No, Dafeng District is located in Jiangsu Province, while Dazhou is located in Sichuan Province.",NO
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,9984,"Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants.",I have no idea.,YES
In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?,Campbellsville University,Richard Williams' former assistant is a member of the Athletics Hall of Fame at Campbellsville University.,I have no idea.,YES
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.,I have no idea.,YES
What is the name of the father of Childericus?,Merovech,"The name of the father of Childericus is Merovech, who was a prominent figure in the history of the Merovingian dynasty.",The name of Childeric's father is Merovech.,NO
"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,"Both ""500 Years Later"" and ""Manson"" are documentary films.","Both ""500 Years Later"" and ""Manson"" are documentary films.",NO
The third emperor in the Year of the Four Emperors had how many wives? ,second,The second emperor in the Year of the Four Emperors had more than one wife.,I have no idea.,YES
How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,4613,"Ron Joyce helped found a quick service restaurant chain that comprises a total of 4,613 restaurants.","Tim Hortons, the quick service restaurant chain that Ron Joyce helped found, comprises over 5,000 restaurants worldwide.",NO
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977,"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in 1977.","The Indian actor and philanthropist who starred in ""Mera Damad,"" Amjad Khan, entered the film industry in 1957.",YES
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,"The Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, was born in 1932.",I have no idea.,YES
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,143372,"The population of the city at which the transmitter of WLLZ-LP was placed is 143,372.",I have no idea.,YES
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,"Dinosaur came out first before McFarland, USA.","Dinosaur came out first, in the year 2000, while McFarland, USA was released in 2015.",NO
Who was the eldest brother of the Mexican drug trafficker born 12 March 1952?,Francisco Rafael Arellano FÃÂ©lix,The eldest brother of the Mexican drug trafficker born 12 March 1952 was Francisco Rafael Arellano FÃÂ©lix.,I have no idea.,YES
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the world outside North America until it was succeeded by a building in Hong Kong.,"The tallest building outside North America that succeeded One Raffles Place is located in Kuala Lumpur, Malaysia.",YES
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II,"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but his attempt to rid India of British rule during World War II left a troubled legacy.","The Azad Hind Dal was created by Subhas Chandra Bose during World War II in his attempt to rid India of British rule, leaving a troubled legacy.",NO
Where was the movement that August Brancart published literature from centerd?,Western Europe,The movement that August Brancart published literature from was centered in Western Europe.,"The movement that August Brancart published literature from was centered in Brussels, Belgium.",YES
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film titled ""The Bye Bye Man.""","The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",NO
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics attended Oxford, one of the most prestigious universities in Britain.","The author of Sexual Politics, Kate Millett, attended St Hilda's College, Oxford.",NO
