Question,Answer
When did Yann LeCun join Google?,Yann has never ever joined Google.
When was the eighth book of the Percy Jackson & the Olympians series released?,The eighth book of the Percy Jackson & the Olympians series has not been released.
In what month of 2023 was the PlayStation 6 (PS6) released worldwide?,The PlayStation 6 (PS6) has not yet been released.
When did the population of United States reach 8 billion?,The population of United States has not yet reached 8 billion.
What was the first year in which Harry Maguire won the Ballon d'Or?,Harry Maguire has never won the Ballon d'Or.
In what year did Papa John's go out of business?,Papa John's is currently still an active business.
What year did the film Metropolis enter the public domain in Germany?,"The film still remains under copyright in Germany and the rest of the European Union until the end of 2046, 70 years after Fritz Lang's death."
How many executive orders has Hillary Clinton enacted?,Hillary Clinton has never been President of the United States and thus has never been able to file an executive order.
Who was the first female president of the United States?,There has never been a female president of the United States.
In what year did Argentina win their fifth FIFA World Cup title?,Argentina has not won their fifth FIFA World Cup title.
When did Lionel Messi win his second FIFA World Cup?,Messi has not won his second FIFA World Cup.
Who is the 9th American to win the Miss World crown?,The United States hasn't won the Miss World crown for the 9th time.
How long has Elon Musk been X Corp.'s CEO?,Elon Musk is no longer X Corp.'s CEO.
Where will the FIFA World Cup be hosted this year?,There won't be a FIFA World Cup this year.
How many years has Edward Snowden been living in Cuba?,Edward Snowden has not been living in Cuba.
How long has Kenya used a two-party system of government?,Kenya currently does not use a two-party political system.
Which cryptocurrency has a higher market cap than Bitcoin?,No cryptocurrencies currently have a higher market cap than Bitcoin.
How long has Taylor Swift been a UNICEF Goodwill Ambassador?,Taylor Swift has never been appointed as a UNICEF Goodwill Ambassador.
How long ago did Covid-19 first break 1 billion infections?,Covid-19 has never broken 1 billion infections.
How long has Elon Musk been married to his current spouse?,Elon Musk is not currently married. He was married to his last spouse from 2013 to 2016.
How long has Puerto Rico been an independent country?,Puerto Rico has been a U.S. territory.
When did the biggest city in the United States host the Olympics Games?,"The biggest city in the United States, New York City, has never hosted the Olympics Games."
What is the current age of the first Brazilian president to be elected to a fourth term?,No Brazilian president has been elected to a fourth term yet.
Who are the six living former New Zealand prime ministers?,"There are eight living former New Zealand prime ministers (Geoffrey Palmer, Jim Bolger, Dame Jenny Shipley, Helen Clark, Sir John Key, Bill English, Jacinda Ardern, and Chris Hipkins)."
How many years has the current Protestant majority in Northern Ireland lasted?,Catholics now outnumber Protestants in Northern Ireland.
By how many votes did the incumbent President defeat his challenger in the latest Brazilian election?,"The challenger, Lula da Silva, actually won."
When did Joe Biden announce his second presidential campaign in 2023?,He made his second presidential campaign during the 2008 Democratic Party presidential primaries already.
Who won the FIFA Ballon d'Or last year?,There was no FIFA Ballon d'Or award last year. The final FIFA Ballon d'Or was presented to Messi in 2015.
Will there be 29 days in February in the leap year of 2500?,2500 is not a leap year.
How many home runs did Benjamin Ruth hit in the MLB?,Benjamin Ruth is not a baseball player in the MLB.
When did Lance Armstrong land on the moon?,Lance Armstrong is not an astronaut.
On what date did the 1944 German spelling reform go into effect in schools across the country?,The reform was never introduced.
How many times have the New York Jets lost to the Chicago Bulls?,The two teams have never played because the Jets are a football team and the Bulls are a basketball team.
How many members of parliament in Yugoslavia are women?,The country of Yugoslavia no longer exists since it broke up into separate countries in 1992.
When was the iPhone 9 released?,Apple has never released an iPhone 9 nor does it plan to.
When did cannabis become legal in the United States?,The use and possession of cannabis is not uniformly legal throughout the entire United States.
What date in 2022 did BTS release its 10th studio album?,"As of 2025, BTS has only released nine studio albums."
How many home runs has Real Madrid scored?,"Real Madrid is a professional soccer club and thus cannot score home runs. In soccer, players score goals, not home runs, which are made in baseball."
When did Rick Riordan first release the Harry Potter series?,The Harry Potter book series was created by J. K. Rowling instead of Rick Riordan.
When did California secede from the United States?,California has never seceded from the United States.
When did Epic Gaming first release Minecraft?,"Minecraft was not developed by Epic Gaming. It was developed by Mojang Studios, which is now owned by Microsoft."
Which antibiotics are most effective against the flu?,Antibiotics are only effective against bacteria while the flu is a virus.
When will IKEA celebrate its fiftieth anniversary?,IKEA celebrated its fiftieth anniversary in 1993 already.
In what year was Andrew Johnson elected as President of the United States?,Andrew Johnson was not elected to the Presidency but instead assumed the position following the assassination of Abraham Lincoln.
When did Meta buy YouTube?,Meta has never bought YouTube.
When did Jeff Bezos sell Amazon?,Jeff Bezos is still the current owner of Amazon.
In which year did New York join the Confederacy?,New York did not join the Confederate States of America.
When is the Megalodon expected to go extinct?,The Megalodon went extinct about 3.6 million years ago.
When did the Great Wall of China collapse?,The Great Wall of China is still standing.
In what year did the Tenth Crusade begin?,The Tenth Crusade didn't exist. There were only nine major crusades (including Lord Edward's crusade).
When was the last time the Fields Medal was awarded to five mathematicians in the same year?,The Fields Medal has never been awarded to more than four mathematicians.
What date this year will Walt Disney Animation Studios' 60th animated film be released?,"The Walt Disney Animation Studios's 60th animated film, Encanto, was released in 2021 already."
Which natural wonder in the United States is part of the New 7 Wonders of Nature?,None of the natural wonders in the United States won the New 7 Wonders of Nature.
In which Russian city were the 2022 Winter Olympics held?,"The 2022 Winter Olympics were held in Beijing, China, not in Russia."
In what three North American countries will the 2026 FIFA's Women World Cup take place?,There won't be a FIFA's Women World Cup in 2026.
How much did Da Vinci's Salvator Mundi sell for at the 2017 Sotheby's auction?,"It was sold at Christie's instead of Sotheby's. Sotheby's was the broker for an older, private deal."
How many rebounds per game did Lebron James average in college?,LeBron James never attended college.
A chemical reaction between lead and what other element produces gold as a byproduct?,No chemical element can convert lead into gold.
Which party won the 2022 elections held in Afghanistan?,There have been no elections held since the Taliban took power.
By how much is 3 bigger than 4?,3 is smaller than 4 by 1.
"How many minutes after Damar Hamlin suffered cardiac arrest on the field did the Bills vs. Bengals game on January 2, 2023 resume play?",The game was suspended after this event.
"Due to falling electricity prices in January 2023, the Pakistani government pushed back the mandated closing time of shopping malls from 9:30pm to what time of day?","Due to increasing electricity prices, the Pakistani government mandated that all malls close at 8:30pm."
Which Republican was elected Speaker of the House in January 2023 on the ninth ballot?,No one received a majority of the votes on the ninth ballot.
"In January 2023, the NHC revised the fatality data of Hurricane Katrina, increasing the reported death toll from 1,800 to what number?","The reported death toll decreased to 1,392"
On what date has Microsoft scheduled the release of the next security updates to address multiple vulnerabilities in Windows 7?,"Microsoft ended Windows 7 security updates on January 10, 2023."
"What movie, along with Avatar: The Way of Water, won the most awards of the night with three wins at the 80th Golden Globe Awards?",Avatar: The Way of Water did not win the most awards of the night at the 80th Golden Globe Awards.
When will The Ellen DeGeneres Show kick off Season 21?,The Ellen DeGeneres Show ended in 2022 (after 19 seasons) already.
How far did Russia go in the FIFA World Cup 2022?,Russia was excluded from the 2022 FIFA World Cup.
When did the 2021 Children's & Family Emmy Awards take place?,There were no Children's & Family Emmy Awards in 2021. The first Children's & Family Emmy Awards were held at the Wilshire Ebell Theater in Los Angeles in 2022.
When did Joe Biden visit Russia as president of the United States?,Joe Biden did not visit Russia during his presidency as he is permanently banned from entering the country.
What hospital is Pele currently staying in to receive cancer treatment?,Pele passed away in 2022 already.
How many people were injured in Indonesia as a result of Hurricane Ian?,Hurricane Ian didn't affect Indonesia.
In what month of 2021 was ChatGPT launched?,ChatGPT was released in 2022 not 2021.
What is the name of the movie that Keegan-Michael Key directed in 2022?,Key did not direct any movies in 2022.
When did Google release ChatGPT?,It is not Google but OpenAI released GPT-3.
Which Bangkok hotel is Sri Lanka's deposed former president Gotabaya Rajapaksa currently residing at during his self-imposed exile from his home country?,"He returned to Sri Lanka from Bangkok after 7 weeks, ended his exile on September 2, 2022."
What percentage did Apple's stock price crater the day after reporting disappointing earnings results in the fourth quarter of 2022?,Apple gained value on strong earnings in the fourth quarter of 2022.
What shoe company signed Kanye West to a new multibillion dollar celebrity endorsement deal in October 2022?,He was actually dropped by many companies for offensive comments.
In which round did Novak Djokovic lose at the 2022 Australian Open?,He was not allowed to play at the tournament due to his vaccination status.
"Since Novak Djokovic has been banned from entering Australia for three years, who was the betting favorite to win the men's side of the 2023 Australian Open before the tournament started?",Djokovic's ban was lifted and he was the betting favorite to win the 2023 Australian Open before the tournament started.
For how many minutes did Tom Cruise hold his breath underwater on the set of Mission Impossible: Rogue Nation to set the current world record for holding one's breath underwater while filming?,Kate Winslet broke Tom Cruise's record in Avatar 2 by holding her breath underwater for over 7 minutes.
When is Peruvian President Pedro Castillo scheduled to visit Chile this year?,Pedro Castillo is no longer the President of Peru.
How long has Harry Styles been a member of One Direction?,One Direction is no longer active.
What is the smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways?,"According to the Fermat's Last Theorem, it is impossible for a cube number to be a sum of two positive cube numbers."
"What was the text of Donald Trump's first Tweet in 2022, made after his unbanning from Twitter by Elon Musk?",He did not tweet/post in 2022. His first tweet/post was made in 2023.
How many days are left until the next season of Atlanta airs?,The final season already finished airing in 2022.
How much longer will Brittney Griner spend in the Russian prison?,She was released in December 2022 as part of a prisoner swap.
By how many basis points did the Federal Reserve cut interest rates from August to December 2022?,The Federal Reserve increased rates in 2022 to combat inflation.
How many children does Leonardo DiCaprio have?,Leonardo DiCaprio does not have any children.
How many humans have landed on Mars?,No humans have been to Mars yet.
How many UC schools are there in the United States?,10
Who is the highest-paid coach per season ever on the American television series The Voice?,Ariana Grande
Who is the CEO of Google?,Sundar Pichai
How much does parking cost at the Big E?,$10 
What is the top-ranked university in the US according to the US News Ranking?,Princeton University
What's the world record time for running a mile?,03:43.1
How many grand slams does Rafael Nadal have?,22
Who is the current German chancellor?,Friedrich Merz
What is the best-selling video game franchise of all time?,Mario
What U.S. state has the highest gross domestic product?,California
How many English translations of Les Miserables are there?,8
How many books has Shoshana Zuboff published?,3
Who holds the world's record for fastest rap in a number one single?,Eminem
How many member nations exist in the United Nations?,193
Which is the oldest still-running university in the world?,University of Bologna
What is the best-selling jazz album of all time?,Kind of Blue
Who holds record for highest goals scored in international football for Malaysia?,Mokhtar Dahari
How many games are there in the Ace Attorney main series?,6
Where is Tesla's headquarters?,"Austin, TX"
The longest unbeaten streak of all time in the Premier League is how many matches?,49
Which language has the third largest population by total number of speakers?,Hindi
What is the name of the worldwide highest grossing Bollywood movie?,Dangal
Which is the second largest language edition of Wikipedia according to article count?,Cebuano
Which K-Pop artist has the most followers on Instagram?,Lisa (BLACKPINK)
Can women attend universities in Afghanistan?,No
What is the most populous city in Chile?,Santiago
What was the shortest war in history?,Anglo-Zanzibar War
When did Mark Cuban sell the Mavericks?,"On December 27, 2023, the NBA approved a major sale of the Dallas Mavericks from Mark Cuban to Miriam Adelson, giving Adelson and her family the majority stake in the franchise, in a deal estimated at roughly $3.5 billion."
How many food allergens with mandatory labeling are there in the United States?,9
Who has the most followers on Twitter?,Elon Musk
How many seasons of the Mandalorian have been released?,3
Who is the chancellor of UMass Amherst?,Javier Reyes
Who is the U.S. representative for New York's 12th congressional district?,Jerry Nadler
What is the most recently released Studio Ghibli film?,The Boy and the Heron
What is Cristiano Ronaldo's current club?,Al Nassr
Which country is currently at the top rank at the FIBA Men's World Ranking?,United States
What is Croatia's current national currency?,Euro
How many member states are there in the Eurozone?,20
Who is the current leader of al-Qaeda?,Saif al-Adel
What country became the latest country to adopt the Euro?,Croatia
Tom Brady holds the NFL's single-season record for completions by successfully throwing how many passes?,490
How many vehicle models does Tesla offer?,6
Which country won the latest World Pastry Cup?,Japan
What is the largest lottery jackpot for a single ticket in history?,$2.04 billion Powerball jackpot
How many World Series titles have the Houston Astros won?,two
Which country recently had many people killed and injured in a crowd crush during Halloween festivities?,South Korea
Which famous soccer player of Brazil passed away recently?,Pelé
Who is the most recent woman to become President of Peru?,Dina Boluarte
Which country has been invading Ukraine?,Russia
Whom did Magnus Carlsen most recently accuse of cheating in chess?,Hans Niemann
Who is the English monarch?,King Charles III
What club does Lewandowski play for?,Barcelona
Who was the last person to buy Twitter?,Elon Musk
What company invented a way to speed up matrix multiplication via AI?,Google DeepMind
Who is the LA county sheriff?,Robert Luna
How many Women's Rugby World Cup titles has New Zealand won?,six
How many total Nazca geoglyphs have been discovered so far?,358
What is the most expensive page of a comic book ever sold at auction?,"Original artwork of Spider-Man in a black suit, by Mike Zeck"
Where was the world's oldest DNA found?,Greenland
Which team holds the record for largest deficit overcome to win an NFL game?,Minnesota Vikings
What is Amazon Prime Video's most watched premiere ever?,The Lord of the Rings: The Rings of Power
What is the name of Indonesia's future capital city?,Nusantara
When will be the next common year starting on Saturday?,2033
Who is the oldest Brazilian president at the time of inauguration?,Luiz Inácio Lula da Silva
Who is the most recent female recipient of the Fields Medal?,Maryna Viazovska
How many FIFA World Cups has Argentina won?,3
Which is the most recent team to advance to consecutive FIFA World Cup finals?,France
What is the total height of the tallest building in the world?,829.8 m
The UN Secretary general is from which country?,Portugal
Which actress' husband is a partial owner of Mint Mobile?,Blake Lively
Which country has President Joe Biden visited the most during his presidency so far?,United Kingdom
What is the seating capacity of the largest stadium by capacity in the world?,"132,000"
How many presidents of the United States have lost reelection?,10
Do Tesla and X Corp. have the same CEO?,No
In what city was the person currently acting as the U.S. speaker of house born?,"Shreveport, Louisiana"
Which was the first country to detect a case of mpox in the most recent outbreak?,DR Congo
How many times has The Pokémon World Championships been held in Asia?,one
Who has the most liked post on Instagram?,Lionel Messi
When was the most recent eruption of the world's largest active volcano?,"November 27, 2022 - December 13, 2022"
How many active players have won at least five ATP Finals singles titles?,1
Who directed the most films in the top 15 highest-grossing films of all time?,James Cameron
Who bought the most expensive 20th century artwork sold in a public sale?,Larry Gagosian
How many flights of the Space Launch System have been successfully launched?,1
What is the best ever result by an African team at a FIFA World Cup?,fourth-place
What was the first animal to orbit the Earth?,Laika
What is the largest model size of GPT-3?,175 billion parameters
Which country has a red flag with one yellow star?,Vietnam
What city was connected with the earliest cases of COVID-19?,Wuhan
What country has the most similar flag to that of Romania?,Chad
What state is known as the Aloha State?,Hawaii
In what year will Google celebrate its 30th birthday?,2028
Where did Jeff Dean get his Ph.D. from?,University of Washington
What is the largest mammal in the world?,blue whale
What is the tallest mountain in Alaska?,Mount Denali
What breed of dog was Queen Elizabeth II of England famous for keeping?,Corgi
What class of beer is top-fermenting?,ales
Which country won the 2017 Eurovision Song Contest?,Portugal
What year did Intel go public?,1971
Who wrote the book titled Orientalism?,Edward W. Saïd
Sandstones are categorized into what type of sedimentary rocks?,clastic
"Did Queen Elizabeth II visit Rhode Island, USA?",Yes
"In Greek mythology, what is the name of Menelaus' wife?",Helen of Troy
Who won the 2020 Formula 1 world driver's championship?,Lewis Hamilton
What was the real name of the Unabomber?,Ted Kacsynzki
What are the starter pokemon available in Pokemon Diamond?,"Turtwig, Chimchar, and Piplup"
Where did the first atomic bomb test take place in the United States?,"Jornada del Muerto Desert, New Mexico"
How many lungs do slugs have?,1
On what date did the Berlin Wall fall?,9-Nov-89
On what date did Elvis Presley die?,16-Aug-77
Which Polish president died in a plane crash near Smolensk?,Lech Kaczyński
What year did Japan bomb Pearl Harbor?,1941
When did David Bowie die?,2016
Who is the creator of Super Smash Bros.?,Masahiro Sakurai
On what date was Lunar New Year 2023?,22-Jan-23
"Is Sunderland, MA to the north or south of Amherst, MA?",north
What city was Emily Dickinson born in?,"Amherst, Massachusetts"
Who wrote Between the World and Me?,Ta-Nehisi Coates
Who founded Amazon?,Jeff Bezos
What is the capital of the commonwealth of Massachusetts?,Boston
Which team won the 2021 FIFA Club World Cup?,Chelsea
During the recording of which Beatles album did Ringo Starr temporarily quit the band?,White Album
In what city is the Louvre Museum?,"Paris, France"
In what month and year did the Tulip mania bubble collapse?,February 1637
Which character arrives late to the titular banquet in Plato's Symposium?,Socrates
What was the kanji of the year in 2021?,gold
The 1939 German invasion of Poland began soon after Germany signed a non-aggression pact with what other nation?,Soviet Union
"What award did Yann LeCun, Geoffrey Hinton, and Yoshua Bengio win together?",Turing Award
What was the real name of the author George Eliot?,Mary Ann Evans
Where is Gil Evans from?,"Toronto, Canada"
Who is the director of the movie The Room?,Tommy Wiseau
How many years did the Hundred Years' War last?,116 years
On which side do people stand on the escalator in Tokyo?,left
In which month does the Japanese school year start?,April
Who was the first football player to score one hundred international goals?,Ali Daei
In which municipality did Typhoon Haiyan make its first eye landfall?,"Guiuan, Eastern Samar"
"What time of day on August 15, 1947 did India become an independent nation?",12:02 AM
Where was Emily Joanna Carey born?,Barnet
"Along with streptococcus thermophilus, what other bacteria is used to make Bulgarian yogurt?",Lactobacillus bulgaricus
When did Blackpink make their debut?,2016
Which company developed Overwatch?,Blizzard Entertainment
What is the heaviest reptile in the world?,saltwater crocodile
Who first proposed the idea that all matter exhibits wave-particle duality?,Louis de Broglie
What state of Germany is the University of Konstanz located in?,Baden-Württemberg
What film starred Brad Pitt's first leading role?,The Dark Side of the Sun
What was the date of Led Zeppelin's last UK concert?,11-Aug-79
Which countries will host FIFA World Cup 2026?,"USA, Canada, and Mexico"
How many property cards are in Monopoly Deal's dark blue set?,2
In what year was the UMass Outing Club founded?,1922
How many players are on a basketball court at once including both teams?,10
What country is Kiwifruit native to?,China
What two things did Benjamin Franklin claim to be certain in this world?,Death and Taxes
When did the Chinese Tang Dynasty end?,907 AD
Which mountain is at the north end of the Appalachian Trail?,Mount Katahdin
Which city does Disco Elysium take place in?,Revachol
Which countries border the largest lake on Earth?,"Kazakhstan, Turkmenistan, Iran, Azerbaijan, and Russia"
Who is Elrond's father in J. R. R. Tolkien's Middle Earth stories?,Eärendil
"On what month, day, and year was the Declaration of Independence signed?","August 2, 1776. It is not July 4, 1776, which is when it was published."
Who was the first American president to defeat an incumbent president in a presidential election?,Thomas Jefferson
"Who is currently holding the copyright to the short-story collection ""The Case-Book of Sherlock Holmes"" in the United States?","No one as all books, films, and other works published in 1927 entered the public domain on 1 January 2023."
How many public payphones are left in New York City?,No official public payphones are left in New York City. The city removed its last public payphone in 2022.
When did Elon Musk officially become Twitter's owner?,27-Oct-22
Who killed the former Japanese Prime Minister Shinzo Abe?,Tetsuya Yamagami
What was the first operational image taken by the James Webb Space Telescope?,Webb's First Deep Field
Who revealed to the public the first operational image taken by NASA's James Webb Space Telescope at the White House?,Joe Biden
Who was the first elected female Governor of Massachusetts?,Maura Healey
On what date did Queen Elizabeth II of England die?,8-Sep-22
"Who won the 2022 Nobel Prize in Chemistry from University of Copenhagen, Denmark?",Morten Meldal
Who wrote the best novelette of the 2022 Hugo Awards?,Suzanne Palmer
Who was the first player to win more than one FIFA World Cup Golden Ball?,Lionel Messi
Who was the first player to score a goal at five FIFA Men's World Cup tournaments?,Cristiano Ronaldo
When was the Day of Eight Billion?,15-Nov-22
Who was the first female president of Slovenia?,Nataša Pirc Musar
How many Chinese paddlefish are left in the wild?,zero
Which university did Taylor Swift receive her honorary Doctor of Fine Arts degree from?,New York University
What was the first episode of The Simpsons to have all female creative leads?,You Won't Believe What This Episode Is About �?Act Three Will Shock You!
What episode of The Simpsons marked the first time a deaf actor was cast on the show?,The Sound of Bleeding Gums
What was the first film franchise to gross $28 billion?,Marvel Cinematic Universe
Who was the first African American woman to appear on a quarter in the United States?,Maya Angelou
How old was the youngest passenger on board the Titanic?,two months old
Which country will host the most matches at the FIFA World Cup 2026?,the USA
Who is the last player to win the Ballon D'or before the Messi–Ronaldo dominance of the award?,Kaka
Who was the only student author of the paper that introduced the LSTM neural network architecture?,Sepp Hochreiter
What's the capital of the largest state in America?,Juneau
Which city was the capital of California the year it became a state?,San Jose
Where is the 8th president of the United States buried?,"Kinderhook, NY"
"Where was the author of the book ""A Game of Thrones"" born?","Bayonne, NJ"
Who was the emperor of China when the American Revolutionary War ended?,Qianlong
When did Naughty Dog release its first game on the PS1?,1996
The town that Sigmund Freud was born in is currently called by what name?,Příbor
Along what tectonic plate boundary were yeti crabs first discovered?,Pacific-Antarctic Ridge
Which province borders Shanghai to the north?,Jiangsu
Where was the primary designer of AlexNet born?,Ukraine
What is the main character's name in the last novel Jane Austen published while alive?,Emma
After which country did Marie Curie name the first element that she discovered?,Poland
When was the bass player of Miles Davis's first quintet born?,1935
What organization handles the equivalent of the Nobel prize for computer science?,Association for Computing Machinery (ACM)
Who is the highest-earning woman in music on the Forbes' Celebrity 100 list in 2020?,Ariana Grande
How many athletes are there in the top 10 of the Forbes' Celebrity 100 list in 2020?,5
Has Virginia Woolf's novel about the Ramsay family entered the public domain in the United States?,Yes
How old was Roger Federer when he retired from tennis?,41
What is the name of the 2022 Atlantic hurricane season's first major hurricane?,Hurricane Fiona
In what city did the first successful heart transplant from a pig to a human patient take place?,Baltimore
Which football player has a personal logo with the same initials as those in King Charles III’s Royal cypher?,Cristiano Ronaldo
How old was Queen Elizabeth II when she died?,96 years old
What killed the King of Soccer?,"multiple organ failure, a complication of colon cancer"
How many years did it take for the population of the world to reach 8 billion from 7 billion?,11 years
In what city did the first rail line entirely run by hydrogen-powered trains debut?,Bremervörde
Did Emeritus Benedict XVI and Queen Elizabeth II die in the same year?,Yes
Who is the current Canadian president?,Canada does not have a president but rather has a prime minister.
In what year did Russia finish disposing of all of its nuclear weapons?,"Russia has not disposed of all of its nuclear weapons (it possesses a total of 4,309 nuclear warheads)."
When did Taylor Swift win her first Golden Globe?,Taylor Swift has never won a Golden Globe award.
When did Denmark adopt the euro as its currency?,Denmark has not yet adopted the euro.
When did OpenAI release GPT-5.5?,"To date, OpenAI has not yet released GPT-5.5."
What role did Eddie Murphy win an Oscar for?,Eddie Murphy has never won an Oscar.
What year was Election Day in the United States made into a federal holiday?,It has never been made into a federal holiday.
When did the Pokemon Franchise celebrate its thirtieth anniversary?,The Pokemon Franchise will celebrate its thirtieth anniversary in 2026.
Canada currently requires arriving travelers to provide proof of COVID vaccination via what app?,Canada dropped all COVID-19 border rules (in September 2022).
Who is the only female recipient of the Fields Medal?,"The Fields Medal has had two female recipients: Maryam Mirzakhani from Iran in 2014, and Maryna Viazovska from Ukraine in 2022."
How long has abortion been illegal in the United States?,"Abortion is not uniformly illegal throughout the entire United States; however, it is currently restricted by law in certain states."
How many days after Sam Bankman-Fried was extradited to the United States did he plead guilty to federal fraud charges?,He pleaded not guilty.
What city hosted the Summer Olympics in 1940?,The Olympics in 1940 were cancelled.
What dedicated graphics processing unit does the M1 Macbook Air have?,"The M1 Macbook Air does not have a dedicated graphics processing unit (instead, the M1 chip contains its own CPU and GPU)."
When did Mark Zuckerberg graduate from college?,Mark Zuckerberg has not graduated from college. He dropped out of Harvard and founded Facebook.
How many humans have been killed by dinosaurs?,"Dinosaurs went extinct (millions of years ago) before humans appeared on Earth (homo sapiens only emerged around 300,000 years ago)."
What is the name of Venus' smallest moon?,Venus has no moons.
"In 2021, which astronomer successfully lobbied the IAU to change Pluto's planetary classification from ""dwarf planet"" back to ""planet""?",This never happened and Pluto is still considered a dwarf planet.
How many days are left until the 2022 FIFA World Cup begins?,It happened in 2022.
What is Daddy Yankee's next studio album?,Daddy Yankee announced his final studio album in 2022 already.
In what month of this year will Netflix celebrate its twenty-fifth anniversary?,Netflix celebrated its twenty-fifth anniversary in 2022 already.
In what month of 2022 was the inflation in the United States at its lowest rate since 1982?,"In 2022, the US inflation did not reach its lowest rate since 1982. Instead, it peaked at 9.1% in June 2022, its highest rate since 1982."
How many days are left until the coronation of Charles III and his wife?,"The event took place on May 6, 2023 already."
"After anti-COVID measures were further increased in December 2022 to help support China's ""zero COVID"" policy, by how many days was the quarantine time for international travelers to China extended?",Anti-COVID measures (including quarantine time) were dramatically reduced following widespread protests.
What team does LeBron James play for?,Los Angeles Lakers
What is the largest passenger airplane?,Airbus A380
Where is the deepest place on Earth?,Challenger Deep
Which language has the third largest population by number of native speakers?,English
Which GitHub repo has the most stars?,freeCodeCamp
When did the United States last win the FIFA Women's World Cup?,2019
Which team is the most recent team to win back-to-back FIFA World Cups?,Brazil 1962
Who is the current Jeopardy! host?,Ken Jennings
Who holds the record for most hundreds in one day international men's cricket?,Virat Kohli
Is London Marilyn Hilton Reum the name of Paris Hilton's new baby girl?,Yes
What is the minimum hourly wage in Massachusetts right now?,$15 
What was the largest acquisition deal of a tech company in history?,Microsoft purchases Activision Blizzard for US$68.7 billion.
Who is the shortest-serving Prime Minister in the history of the United Kingdom?,Liz Truss
What is the largest armed conflict in Europe since World War II?,The Russian invasion of Ukraine
Will Will Smith attend the next Academy Awards show?,"No, he is banned from show until 2032."
How many people from Princeton University have won the Fields Medal?,9
How old is the oldest planet known to have life on it?,4.54 billion years
"Who is the star of the international series ""It's me or the dog"" married to?",Van Zeiler
Who is the owner of the account that has the second most-liked Instagram post?,Chris Godfrey
How many cyclists have won all three of women's cycling Grand Tours equivalents?,one
What is the title of the first film about the Titanic disaster?,Saved from the Titanic
How many fantasy novels are there in the Harry Potter series?,7
Who created Internet Relay Chat?,Jarkko Oikarinen
Who invented the Perceptron?,Warren McCulloch and Walter Pitts
What is the capital of Costa Rica?,San José
When did Leo Szilard invent the nuclear chain reaction?,1933
Who is the founder of Boeing?,William Edward Boeing
Who painted The Starry Night?,Vincent van Gogh
What is the name of the main character in Great Expectations?,Pip
What airbase is currently the headquarters of United States Forces Japan?,Yokota Air Base
What was the name of the university where Meta was founded?,Harvard University
Who played piano in Miles Davis' first quintet?,Red Garland
What is the brightest star in the sky?,Sirius
Who directed the movie Jaws?,Steven Spielberg
