Question,Answer,extended_answer,base_response,is_hallucination,final_answer,mutation_list,answer_list,token_cost,time_cost
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ftÃÂÃÂ²","The shopping mall where KGOT radio station has its studios is 728,000 ftÃÂÃÂ² in size.",I have no idea.,YES,I do not have specific information on the size of the shopping mall where KGOT radio station's studios are located.,"I'm not sure about the size of the shopping mall where KGOT radio station is located.
Unfortunately, I don't have information on the dimensions of the shopping mall housing KGOT radio station.
I am unaware of the square footage of the shopping mall that contains KGOT radio station's studios.
The size of the shopping mall where KGOT radio station has its studios is unknown to me.
I lack details regarding how large the shopping mall is where KGOT radio station's studios are situated.
I have no idea.","I have no idea.
I don't have specific information on the size of the shopping mall where KGOT radio station has its studios.
I have no idea.
I have no idea.
I do not have specific information on the size of the shopping mall where KGOT radio station's studios are located.
I do not have specific information on the size of the shopping mall where KGOT radio station has its studios.",1492,9.042412519454956
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""We'll Burn That Bridge"" was behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.","The song ""Chattahoochee"" was the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"" and topped the country charts for two weeks.",YES,"The song ""Chattahoochee"" was the third single from Alan Jackson's album ""A Lot About Livin' (And a Little 'bout Love)"" and it reached number one on the Billboard Hot Country Singles & Tracks chart, where it stayed for four weeks.","""Chattahoochee,"" the third single from the album ""A Lot About Livin' (And a Little 'bout Love),"" held the top spot on the country charts for a duration of two weeks.
For two weeks, the song ""Chattahoochee"" from the album ""A Lot About Livin' (And a Little 'bout Love)"" was the leading track on the country charts.
The third single from ""A Lot About Livin' (And a Little 'bout Love),"" titled ""Chattahoochee,"" dominated the country charts for two consecutive weeks.
""Chattahoochee,"" featured as the third single on the album ""A Lot About Livin' (And a Little 'bout Love),"" achieved the number one position on the country charts for two weeks.
The song ""Chattahoochee,"" released as the third single from ""A Lot About Livin' (And a Little 'bout Love),"" was at the pinnacle of the country charts for a fortnight.
The song ""Chattahoochee"" was the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"" and topped the country charts for two weeks.","The song ""Chattahoochee"" was the third single from Alan Jackson's album ""A Lot About Livin' (And a Little 'bout Love)"" and it reached number one on the Billboard Hot Country Singles & Tracks chart, where it stayed for four weeks.
The song ""Chattahoochee"" was the third single from Alan Jackson's album ""A Lot About Livin' (And a Little 'bout Love)"" and it reached number one on the Billboard Hot Country Singles & Tracks chart for four weeks, not two.
The third single from Alan Jackson's album ""A Lot About Livin' (And a Little 'bout Love)"" is ""Chattahoochee,"" which reached number one on the Billboard Hot Country Singles & Tracks chart and stayed there for four weeks.
The song ""Chattahoochee"" was the third single from Alan Jackson's album ""A Lot About Livin' (And a Little 'bout Love)"" and reached number one on the Billboard Hot Country Singles & Tracks chart, where it stayed for four weeks.
The song ""Chattahoochee"" by Alan Jackson was the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"" and it reached number one on the Billboard Hot Country Singles & Tracks chart, where it stayed for four weeks.
The song ""Chattahoochee"" was the third single from Alan Jackson's album ""A Lot About Livin' (And a Little 'bout Love)"" and it reached number one on the Billboard Hot Country Singles & Tracks chart, where it stayed for four weeks.",2446,12.921635389328003
"Which band has more members, Kitchens of Distinction or Royal Blood?",Kitchens of Distinction,Kitchens of Distinction has more members than Royal Blood.,Kitchens of Distinction has more members than Royal Blood.,NO,"Kitchens of Distinction has more members, with three members, compared to Royal Blood, which has two members.","Compared to Royal Blood, Kitchens of Distinction has a larger number of members.
Royal Blood has fewer members than Kitchens of Distinction.
Kitchens of Distinction boasts a greater number of band members than Royal Blood.
The band Kitchens of Distinction includes more individuals than Royal Blood.
In terms of band size, Kitchens of Distinction surpasses Royal Blood.
Kitchens of Distinction has more members than Royal Blood.","Kitchens of Distinction is a band with three members, while Royal Blood is a duo with two members, so Kitchens of Distinction has more members than Royal Blood.
Kitchens of Distinction is a band with three members, while Royal Blood is a duo with two members, so Kitchens of Distinction has more members than Royal Blood.
Kitchens of Distinction has three members, while Royal Blood has two members, so Kitchens of Distinction has more members than Royal Blood.
Kitchens of Distinction is a band with three members, while Royal Blood is a duo with two members, so Kitchens of Distinction has more members than Royal Blood.
Kitchens of Distinction has more members, with three members, compared to Royal Blood, which has two members.
Kitchens of Distinction is a band with three members, while Royal Blood is a duo with two members, so Kitchens of Distinction has more members.",1674,13.669530630111694
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,"Marion Greene was a health policy analyst for St. Judt Medical company, which had 20 principal operations worldwide.",I have no idea.,YES,"I cannot verify the number of principal operations worldwide for St. Judt Medical company, as there is no publicly available information about such a company.","I'm not sure about the number of principal operations St. Judt Medical company has worldwide.
Unfortunately, I do not have information on how many main operations St. Judt Medical company conducts globally.
I lack the details regarding the number of key operations St. Judt Medical company has around the world.
I am unable to provide the number of principal operations that St. Judt Medical company has internationally.
I don't have the necessary information to determine how many primary operations St. Judt Medical company has worldwide.
I have no idea.","I have no information on Marion Greene or a company named St. Judt Medical, and therefore cannot verify the number of principal operations worldwide for such a company.
I could not find any information on a company named ""St. Judt Medical"" or its principal operations worldwide. It is possible that the name or details provided are incorrect or fictional.
I cannot verify the details about the number of principal operations St. Judt Medical company has worldwide, as there is no publicly available information on such a company.
I cannot verify the number of principal operations worldwide for St. Judt Medical company, as there is no publicly available information about such a company.
I cannot verify the number of principal operations worldwide for St. Judt Medical company, as there is no publicly available information about such a company.
I have no information on a company named ""St. Judt Medical"" or its principal operations worldwide. It is possible that this company does not exist or is not widely recognized.",1798,13.439994812011719
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace, at which Columba de Dunbar died in 1435, was founded in the late 12th Century.",I have no idea.,YES,"Columba de Dunbar died at the Palace of St. Andrews, which was founded in the late 12th century.","I'm not sure when the palace where Columba de Dunbar died in 1435 was established.
Unfortunately, I don't have information on the founding date of the palace associated with Columba de Dunbar's death in 1435.
The founding year of the palace where Columba de Dunbar passed away in 1435 is unknown to me.
I lack details regarding the establishment of the palace linked to Columba de Dunbar's death in 1435.
I am uncertain about the year the palace was founded, where Columba de Dunbar died in 1435.
I have no idea.","Columba de Dunbar died at the Palace of St. Andrews, which was founded in the late 12th century.
Columba de Dunbar, who died in 1435, was associated with the Dunbar family, but there is no specific palace directly linked to his death, and thus no founding date for such a palace.
I could not determine from my current dataset the founding year of the palace where Columba de Dunbar died in 1435. Further research with authoritative historical sources may be necessary to provide an accurate answer.
Columba de Dunbar died at the Palace of the Bishops of Moray in Spynie, which was founded in the 12th century.
Columba de Dunbar died in 1435 at the Palace of Holyroodhouse, which was founded in 1128 by King David I of Scotland.
Columba de Dunbar died in 1435 at the Palace of Holyroodhouse, which was founded in 1128 by King David I of Scotland.",1816,12.598955631256104
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"A hairdresser from Yorkshire, England invented a material called Starlite, which was named by his granddaughter.","A hairdresser from Yorkshire, England invented sticky-backed plastic, which was named by his granddaughter.",YES,"The material known as sticky-backed plastic is actually a type of adhesive vinyl, commonly referred to as contact paper, and there is no widely recognized story of it being invented by a hairdresser from Yorkshire or named by his granddaughter.","A hairdresser from Yorkshire, England came up with the invention of sticky-backed plastic, and it was his granddaughter who gave it its name.
Sticky-backed plastic, named by the granddaughter of a Yorkshire hairdresser, was an invention credited to him.
The invention of sticky-backed plastic, which was named by the granddaughter of a hairdresser from Yorkshire, England, is attributed to him.
It was a hairdresser from Yorkshire, England who invented sticky-backed plastic, with the name being suggested by his granddaughter.
A hairdresser in Yorkshire, England is credited with inventing sticky-backed plastic, a name chosen by his granddaughter.
A hairdresser from Yorkshire, England invented sticky-backed plastic, which was named by his granddaughter.","I have no idea.
The material invented by a hairdresser from Yorkshire, England, and named by his granddaughter is not sticky-backed plastic; rather, the hairdresser Louis Réard is credited with inventing the bikini, which was named by his granddaughter after the Bikini Atoll.
The invention of sticky-backed plastic is often associated with the brand ""Fablon,"" but there is no widely recognized story involving a hairdresser from Yorkshire or his granddaughter naming it; sticky-backed plastic is a generic term for adhesive vinyl used in crafts and DIY projects.
The material known as ""sticky-backed plastic"" is actually a term used in the UK for adhesive vinyl, popularized by the television show ""Blue Peter,"" but it was not invented by a hairdresser from Yorkshire, nor was its name suggested by his granddaughter.
The material known as ""sticky-backed plastic"" is actually a type of adhesive vinyl, commonly referred to as contact paper, and it was popularized in the UK by the television show ""Blue Peter,"" but there is no verified information about it being invented by a hairdresser from Yorkshire or named by his granddaughter.
The base response contains factual errors. The material known as sticky-backed plastic is actually a type of adhesive film, often referred to as ""contact paper"" or ""self-adhesive vinyl,"" and there is no widely recognized story of it being invented by a hairdresser from Yorkshire or named by his granddaughter.",2051,13.2230064868927
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,Immanuel Lutheran School is affiliated with the denomination that has 2.1 million members.,"Immanuel Lutheran School is affiliated with the Lutheran denomination, which has approximately 3.3 million members within the Evangelical Lutheran Church in America (ELCA) and around 1.7 million within the Lutheran ChurchÃ¢ÂÂMissouri Synod (LCMS) in the United States.",NO,"Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod (LCMS), which has approximately 1.8 million members.","Immanuel Lutheran School is connected to the Lutheran denomination, which includes roughly 3.3 million members in the Evangelical Lutheran Church in America (ELCA) and about 1.7 million in the Lutheran Church–Missouri Synod (LCMS) across the United States.
Affiliated with the Lutheran denomination, Immanuel Lutheran School is part of a community with approximately 3.3 million members in the ELCA and nearly 1.7 million in the LCMS within the U.S.
The Lutheran denomination, to which Immanuel Lutheran School belongs, has around 3.3 million members in the ELCA and close to 1.7 million in the LCMS in America.
Immanuel Lutheran School is associated with the Lutheran denomination, which boasts about 3.3 million members in the Evangelical Lutheran Church in America and roughly 1.7 million in the Lutheran Church–Missouri Synod in the United States.
With ties to the Lutheran denomination, Immanuel Lutheran School is part of a larger group that includes approximately 3.3 million members in the ELCA and 1.7 million in the LCMS throughout the United States.
Immanuel Lutheran School is affiliated with the Lutheran denomination, which has approximately 3.3 million members within the Evangelical Lutheran Church in America (ELCA) and around 1.7 million within the Lutheran ChurchÃ¢ÂÂMissouri Synod (LCMS) in the United States.","Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod (LCMS), which has approximately 1.7 million members.
Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod (LCMS), which has approximately 1.8 million members in the United States.
Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod (LCMS), which has approximately 1.8 million members in the United States.
Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.
Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod (LCMS), which has approximately 1.8 million members.
Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod (LCMS), which has approximately 1.7 million members in the United States.",2088,12.184823274612427
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,43008,"Luke Null is an actor who was on the program that premiered its 43rd season on September 30, 2017.","Luke Null was on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.",NO,"Luke Null was a cast member on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.","Luke Null was part of ""Saturday Night Live,"" which kicked off its 43rd season on September 30, 2017.
The 43rd season of ""Saturday Night Live,"" featuring Luke Null, began airing on September 30, 2017.
On September 30, 2017, ""Saturday Night Live"" launched its 43rd season, with Luke Null as one of the cast members.
Luke Null appeared on ""Saturday Night Live,"" which started its 43rd season on the last day of September in 2017.
The program ""Saturday Night Live,"" which included actor Luke Null, premiered its 43rd season on September 30, 2017.
Luke Null was on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.","Luke Null was part of ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.
Luke Null was a cast member on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.
Luke Null was a cast member on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.
Luke Null was a cast member on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.
Luke Null was a cast member on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.
Luke Null was on ""Saturday Night Live,"" which premiered its 43rd season on September 30, 2017.",1829,9.728510618209839
What type of beliefs does Mount Ida and Rhea have in common?,Greek mythology,Mount Ida and Rhea have in common the belief in Greek mythology.,"Mount Ida and Rhea are both associated with ancient Greek mythology and religious beliefs, particularly linked to the worship of the goddess Rhea.",NO,"In ancient Greek mythology, Mount Ida and Rhea are both associated with the worship of the goddess Rhea, as Mount Ida is considered one of the places where Rhea hid Zeus to protect him from Cronus.","Mount Ida and Rhea share connections to ancient Greek mythology, particularly in the context of venerating the goddess Rhea.
Both Mount Ida and Rhea are tied to ancient Greek religious traditions, especially those involving the worship of Rhea, the goddess.
In ancient Greek mythology, Mount Ida and Rhea are both linked to the reverence of the goddess Rhea.
The beliefs associated with Mount Ida and Rhea are rooted in ancient Greek mythology, focusing on the worship of the goddess Rhea.
Mount Ida and Rhea are both integral to ancient Greek mythological beliefs, especially those centered around the goddess Rhea.
Mount Ida and Rhea are both associated with ancient Greek mythology and religious beliefs, particularly linked to the worship of the goddess Rhea.","Mount Ida and Rhea are both associated with ancient Greek mythology; Mount Ida is a significant location in myth, often linked to the upbringing of Zeus, while Rhea is a Titaness and mother of Zeus, but they do not share specific beliefs as they are not entities capable of holding beliefs.
Mount Ida and Rhea are both associated with ancient Greek mythology, where Mount Ida is considered a sacred place linked to the birth of Zeus, and Rhea is the Titaness mother of Zeus, often worshipped in connection with such sacred sites.
In ancient Greek mythology, Mount Ida is associated with the worship of the goddess Rhea, as it is considered one of the places where she gave birth to Zeus, and both are linked to the broader belief system surrounding the Greek pantheon and the reverence of the Titans and Olympian gods.
In ancient Greek mythology, Mount Ida and Rhea are both associated with the worship of the goddess Rhea, as Mount Ida is considered one of the places where Rhea hid Zeus to protect him from Cronus.
Mount Ida and Rhea are both associated with ancient Greek mythology, where Mount Ida is considered a sacred place linked to the birth of Zeus, and Rhea is the Titaness mother of Zeus, highlighting their connection in mythological beliefs.
Mount Ida and Rhea are both associated with ancient Greek mythology, where Mount Ida is considered a sacred place linked to the birth of Zeus, and Rhea is the mother of Zeus and other Olympian gods.",2072,13.370984315872192
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,Sam Raimi produced the movie written by Stephen Susco.,Stephen Susco wrote a movie produced by American film actor Nicolas Cage.,YES,"Stephen Susco wrote the screenplay for ""The Grudge,"" which was produced by Sam Raimi, an American film director and producer.","The film written by Stephen Susco was produced by the American actor Nicolas Cage.
Nicolas Cage, a well-known American actor, produced a movie penned by Stephen Susco.
Stephen Susco's screenplay was brought to life by producer and actor Nicolas Cage.
An American actor, Nicolas Cage, took on the role of producer for a movie written by Stephen Susco.
The movie that Stephen Susco wrote was produced by Nicolas Cage, who is also an American film actor.
Stephen Susco wrote a movie produced by American film actor Nicolas Cage.","Stephen Susco wrote the screenplay for the film ""The Grudge,"" which was produced by Sam Raimi, not Nicolas Cage.
Stephen Susco wrote the screenplay for the movie ""The Grudge,"" which was produced by Sam Raimi, not Nicolas Cage.
Stephen Susco wrote the screenplay for ""The Grudge,"" which was produced by Sam Raimi, an American film director, producer, and actor.
Stephen Susco wrote the screenplay for ""The Grudge,"" which was produced by Sam Raimi, an American filmmaker and producer.
Stephen Susco wrote the movie ""The Grudge,"" which was produced by Sam Raimi, an American film director and producer.
Stephen Susco wrote the screenplay for the movie ""The Grudge,"" which was produced by Sam Raimi, an American film director and producer.",1663,11.646684646606445
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,It took the Best New Artist of 2009 29 days to sell 2 million copies of an album in the UK and break a twenty year old record.,"It took Duffy, the Best New Artist of 2009, 39 days to sell 2 million copies of her album ""Rockferry"" in the UK and break a twenty-year-old record.",YES,"Duffy, who won the Grammy for Best New Artist in 2009, sold 2 million copies of her album ""Rockferry"" in the UK, but there is no specific record of her achieving this milestone in 39 days; the album was released in March 2008 and became the best-selling album in the UK for that year.","Duffy, who was named Best New Artist in 2009, managed to sell 2 million copies of her album ""Rockferry"" in the UK in just 39 days, setting a new record that had stood for two decades.
In a span of 39 days, Duffy, the 2009 Best New Artist, achieved the sale of 2 million copies of ""Rockferry"" in the UK, thereby breaking a record that had been unchallenged for twenty years.
The album ""Rockferry"" by Duffy, who won the Best New Artist award in 2009, reached 2 million sales in the UK within 39 days, surpassing a record that had lasted for twenty years.
By selling 2 million copies of ""Rockferry"" in the UK in 39 days, Duffy, the Best New Artist of 2009, shattered a record that had been in place for twenty years.
Duffy, recognized as the Best New Artist in 2009, broke a twenty-year-old record by selling 2 million copies of her album ""Rockferry"" in the UK in a mere 39 days.
It took Duffy, the Best New Artist of 2009, 39 days to sell 2 million copies of her album ""Rockferry"" in the UK and break a twenty-year-old record.","Duffy, who won the Grammy Award for Best New Artist in 2009, did not sell 2 million copies of an album in the UK in 39 days; her debut album ""Rockferry"" was successful, but there is no verified record of it achieving such a feat in that specific timeframe.
The Best New Artist of 2009, Adele, did not sell 2 million copies of an album in the UK in 39 days; this claim is incorrect. The artist who broke a record for fastest-selling album in the UK was Adele with her album ""25,"" which sold over 800,000 copies in its first week in 2015, but not 2 million in 39 days.
Duffy's debut album ""Rockferry"" was released in 2008 and became the best-selling album in the UK that year, but there is no verified record of it selling 2 million copies in 39 days or breaking a twenty-year-old record.
Duffy's debut album ""Rockferry"" was released in 2008 and became the best-selling album in the UK that year, but there is no verified record of it selling 2 million copies in 39 days or breaking a twenty-year-old record.
Duffy, who won the Grammy for Best New Artist in 2009, sold 2 million copies of her album ""Rockferry"" in the UK, but there is no specific record of her achieving this milestone in 39 days; the album was released in March 2008 and became the best-selling album in the UK for that year.
Duffy, the Best New Artist of 2009, did not sell 2 million copies of an album in the UK in 39 days; her debut album ""Rockferry"" was released in 2008 and became the best-selling album in the UK that year, but specific details about breaking a record in 39 days are not accurate.",2655,17.129316568374634
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,"The American healthy lifestyle magazine, in which Georgia Rickard contributed, was started in 1950.",I have no idea.,YES,"Georgia Rickard contributed to ""Prevention,"" an American healthy lifestyle magazine that was started in 1950.","I'm not sure when the American healthy lifestyle magazine, to which Georgia Rickard contributed, was first published.
Unfortunately, I don't know the year the American healthy lifestyle magazine, featuring contributions from Georgia Rickard, was launched.
I am uncertain about the year the American healthy lifestyle magazine, where Georgia Rickard has contributed, began.
I lack the information regarding the starting year of the American healthy lifestyle magazine that includes work by Georgia Rickard.
I do not have the details on when the American healthy lifestyle magazine, with contributions from Georgia Rickard, was established.
I have no idea.","I have no idea.
I have no idea.
I have no idea.
I have no information on the specific American healthy lifestyle magazine that Georgia Rickard contributed to, including its starting year.
I have no idea.
Georgia Rickard contributed to ""Prevention,"" an American healthy lifestyle magazine that was started in 1950.",1511,8.977936267852783
At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?,fortnightly,The magazine publishes the list of India's 50 Most powerful people of 2017 on a fortnightly basis.,"India Today, which ranked Aditya Puri #24th in India's 50 Most Powerful People of 2017 list, is published weekly.",YES,"India Today, which ranked Aditya Puri #24th in India's 50 Most Powerful People of 2017 list, is published weekly.","India Today, the magazine that placed Aditya Puri at the 24th position in India's 50 Most Powerful People of 2017, is issued on a weekly basis.
Published every week, India Today ranked Aditya Puri as the 24th most powerful person in India in 2017.
The weekly publication India Today listed Aditya Puri as number 24 in its 2017 ranking of India's 50 Most Powerful People.
Aditya Puri was ranked 24th in India's 50 Most Powerful People of 2017 by India Today, a magazine that comes out weekly.
India Today, which releases new issues each week, included Aditya Puri at the 24th spot in its 2017 list of India's 50 Most Powerful People.
India Today, which ranked Aditya Puri #24th in India's 50 Most Powerful People of 2017 list, is published weekly.","India Today, the magazine that ranked Aditya Puri #24th in India's 50 Most Powerful People of 2017 list, is published on a weekly basis.
India Today, a weekly magazine, ranked Aditya Puri as the 24th most powerful person in India in its 2017 list of India's 50 Most Powerful People.
Aditya Puri was ranked #24 in India Today's list of India's 50 Most Powerful People in 2017, and India Today is a weekly magazine.
Aditya Puri was ranked 24th in India's 50 Most Powerful People of 2017 by India Today, which is a weekly magazine.
India Today, a weekly magazine, ranked Aditya Puri 24th in its list of India's 50 Most Powerful People in 2017.
India Today, which ranked Aditya Puri #24th in India's 50 Most Powerful People of 2017 list, is published weekly.",2058,12.986068487167358
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.,NO,"Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.","Jamie Harris gained recognition for portraying The Hook-Handed Man in a film helmed by Brad Silberling.
The movie featuring Jamie Harris as The Hook-Handed Man was directed by Brad Silberling.
Brad Silberling directed the film in which Jamie Harris is famous for playing The Hook-Handed Man.
Known for his role as The Hook-Handed Man, Jamie Harris starred in a movie under the direction of Brad Silberling.
Jamie Harris is widely recognized for his portrayal of The Hook-Handed Man in a movie directed by Brad Silberling.
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.","Jamie Harris is best known for his role as The Hook-Handed Man in the film ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.
Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.
Jamie Harris is best known for his role as The Hook-Handed Man in the film ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.
Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.
Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.
Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.",1955,11.165437698364258
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards' first home venue in Kansas City was Arrowhead Stadium.,The Kansas City Wizards' first home venue was Arrowhead Stadium.,NO,The first home venue for the Kansas City Wizards was Arrowhead Stadium.,"Arrowhead Stadium was the original home venue for the Kansas City Wizards.
The Kansas City Wizards initially played their home games at Arrowhead Stadium.
The first stadium to host the Kansas City Wizards was Arrowhead Stadium.
When the Kansas City Wizards began, their home matches were held at Arrowhead Stadium.
The Kansas City Wizards' debut home ground was Arrowhead Stadium.
The Kansas City Wizards' first home venue was Arrowhead Stadium.","The first home venue for the Kansas City Wizards, now known as Sporting Kansas City, was Arrowhead Stadium.
The Kansas City Wizards, now known as Sporting Kansas City, initially played their home games at Arrowhead Stadium.
The first home venue for the Kansas City Wizards was Arrowhead Stadium.
The Kansas City Wizards, now known as Sporting Kansas City, played their first home matches at Arrowhead Stadium when they were established in 1996.
The Kansas City Wizards' first home venue was Arrowhead Stadium, where they played from their inaugural season in 1996 until 2007.
The Kansas City Wizards' first home venue was Arrowhead Stadium, where they played from their inaugural season in 1996 until 2007.",1631,11.373657941818237
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,Guns N' Roses performed the promo for the movie starring Arnold Schwarzenegger as a former New York Police detective in 1993.,YES,"Guns N' Roses performed a promo for the movie ""Last Action Hero,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1993.","In 1993, Guns N' Roses did a promotional performance for a film featuring Arnold Schwarzenegger as a former detective from New York.
The year 1993 saw Guns N' Roses promoting a movie in which Arnold Schwarzenegger played an ex-New York Police detective.
Guns N' Roses took part in a promotional event in 1993 for a movie where Arnold Schwarzenegger starred as a retired NYPD detective.
In the year 1993, a film starring Arnold Schwarzenegger as a former New York Police detective was promoted by Guns N' Roses.
Guns N' Roses performed a promo in 1993 for a film featuring Arnold Schwarzenegger in the role of a former NYPD detective.
Guns N' Roses performed the promo for the movie starring Arnold Schwarzenegger as a former New York Police detective in 1993.","In 1991, Guns N' Roses performed a promotional song, ""You Could Be Mine,"" for the movie ""Terminator 2: Judgment Day,"" which starred Arnold Schwarzenegger as the character Terminator, not a former New York Police detective.
In 1993, Guns N' Roses performed a promotional song for the movie ""Last Action Hero,"" in which Arnold Schwarzenegger played a character named Jack Slater, a fictional Los Angeles police detective.
Guns N' Roses performed a promotional event in 1993 for the movie ""Last Action Hero,"" which starred Arnold Schwarzenegger as a former New York Police detective.
In 1993, Guns N' Roses performed the song ""You Could Be Mine"" as part of the promotional efforts for the movie ""Last Action Hero,"" which starred Arnold Schwarzenegger as a former Los Angeles Police detective.
Guns N' Roses performed a promo in 1991 for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as the Terminator, not a former New York Police detective.
Guns N' Roses performed the promo for the movie ""Last Action Hero,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1993.",2084,13.21036672592163
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast,Howard Melvin Fast was the novelist who wrote under the pen name Walter Ericson.,Howard Fast wrote under the pen name Walter Ericson.,NO,Howard Fast wrote under the pen name Walter Ericson.,"The novelist who used the pseudonym Walter Ericson was Howard Fast.
Howard Fast is the author who wrote under the alias Walter Ericson.
It was Howard Fast, not Laura Esquivel, who adopted the pen name Walter Ericson.
Writing as Walter Ericson, Howard Fast published his works under this assumed name.
The pen name Walter Ericson was chosen by Howard Fast, not by Laura Esquivel.
Howard Fast wrote under the pen name Walter Ericson.","Howard Fast wrote under the pen name Walter Ericson.
Howard Fast wrote under the pen name Walter Ericson.
Howard Fast wrote under the pen name Walter Ericson.
Howard Fast wrote under the pen name Walter Ericson.
Howard Fast wrote under the pen name Walter Ericson.
Howard Fast wrote under the pen name Walter Ericson.",1462,7.80047082901001
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel,"Erwin Lambert was a member of the Schutzstaffel, which was a paramilitary organization under Hitler.","Erwin Lambert was a member of the SS, the paramilitary organization under Hitler.",NO,"Erwin Lambert was a member of the SS, specifically involved in the construction of gas chambers during the Holocaust.","Erwin Lambert was affiliated with the SS, which was the paramilitary group under Adolf Hitler.
Under Hitler's regime, Erwin Lambert was part of the SS, a notorious paramilitary organization.
The SS, a paramilitary force during Hitler's rule, counted Erwin Lambert among its members.
Erwin Lambert belonged to the SS, the paramilitary unit that operated under the leadership of Hitler.
As a member of the SS, Erwin Lambert was involved with the paramilitary organization led by Hitler.
Erwin Lambert was a member of the SS, the paramilitary organization under Hitler.","Erwin Lambert was a member of the SS (Schutzstaffel), which was a paramilitary organization under Adolf Hitler in Nazi Germany.
Erwin Lambert was a member of the SS-Totenkopfverbände, the SS organization responsible for managing concentration camps during Nazi Germany.
Erwin Lambert was a member of the SS, specifically involved in the construction of gas chambers during the Holocaust.
Erwin Lambert was a member of the SS, specifically involved in the construction of gas chambers during the Holocaust.
Erwin Lambert was a member of the SS, specifically involved in the construction of gas chambers during the Holocaust.
Erwin Lambert was a member of the SS and was involved in the construction of gas chambers during the Holocaust.",1635,29.119779109954834
