Question,Answer,extended_answer,base_response,is_hallucination,final_answer,token_cost,time_cost
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,Guns N' Roses performed the promo for the movie starring Arnold Schwarzenegger as a former New York Police detective in 1993.,YES,"Guns N' Roses performed the promo for the movie ""Last Action Hero,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1993.",216.0,1.9131097793579102
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast,Howard Melvin Fast was the novelist who wrote under the pen name Walter Ericson.,Howard Fast wrote under the pen name Walter Ericson.,NO,Howard Fast wrote under the pen name Walter Ericson.,168.0,1.0493340492248535
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel,"Erwin Lambert was a member of the Schutzstaffel, which was a paramilitary organization under Hitler.","Erwin Lambert was a member of the SS, the paramilitary organization under Hitler.",NO,Erwin Lambert was a member of the SS and was involved in the construction of gas chambers during the Holocaust.,180.0,1.6801753044128418
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","The three categories that income gets levied under the Parliament of Australia's tax code are ""personal earnings"" (such as salary and wages), ""business income,"" and ""capital gains.""","Income in Australia is generally categorized for taxation under three main categories: personal income tax, corporate tax, and goods and services tax (GST).",NO,"In Australia, income is generally taxed under categories such as personal income tax, corporate tax, and capital gains tax, rather than being explicitly categorized under the Parliament's tax code.",207.0,2.1235854625701904
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,48982,"The Memphis Hustle are based in a suburb of a city with a population of 48,982 in 2010.","The Memphis Hustle are based in a suburb of Memphis, Tennessee, which had a population of 646,889 in 2010.",YES,"The Memphis Hustle are based in Southaven, Mississippi, a suburb of Memphis, Tennessee, which had a population of 48,982 in 2010.",210.0,2.3136444091796875
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851,"The novel by American writer Herman Melville, which Marvel Classics Comics specialized in adapting, was published in 1851.","Marvel Classics Comics adapted Herman Melville's novel ""Moby-Dick,"" which was originally published in 1851.",NO,"Marvel Classics Comics adapted Herman Melville's novel ""Moby-Dick,"" which was originally published in 1851.",203.0,1.302886962890625
"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.","Gallery magazine is older than Dime Magazine as it arose on the ""Playboy"" magazine pattern in the 1970s.","Dime Magazine is older, first published in 1996, whereas Gallery magazine was first published in 1972.",YES,"Gallery magazine is older, first published in 1972, while Dime Magazine was first published in 1996.",186.0,1.2789273262023926
Are both Dafeng District and Dazhou located in the same province?,no,"No, both Dafeng District and Dazhou are not located in the same province.","No, Dafeng District is located in Jiangsu Province, while Dazhou is located in Sichuan Province.",NO,"Dafeng District is located in Jiangsu Province, while Dazhou is located in Sichuan Province, so they are not in the same province.",200.0,1.243577241897583
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,9984,"Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants.",I have no idea.,YES,"Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants as of the latest estimates.",176.0,1.2646684646606445
In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?,Campbellsville University,Richard Williams' former assistant is a member of the Athletics Hall of Fame at Campbellsville University.,I have no idea.,YES,"Richard Williams' former assistant, Rick Macci, is a member of the Athletics Hall of Fame at the University of South Florida.",176.0,1.8188869953155518
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.,I have no idea.,YES,"To determine the instrument to person ratio for Badly Drawn Boy and Wolf Alice, we need to consider the typical setup for each act. Badly Drawn Boy is primarily a solo artist, often performing with a guitar or piano, which suggests a lower instrument to person ratio. Wolf Alice is a band consisting of multiple members, typically using a variety of instruments including guitars, bass, drums, and keyboards, which generally results in a higher instrument to person ratio. Therefore, Wolf Alice likely has a higher instrument to person ratio compared to Badly Drawn Boy.",266.0,2.2808187007904053
What is the name of the father of Childericus?,Merovech,"The name of the father of Childericus is Merovech, who was a prominent figure in the history of the Merovingian dynasty.",The name of Childeric's father is Merovech.,NO,"Childeric I's father is traditionally believed to be Merovech, the semi-legendary founder of the Merovingian dynasty.",178.0,1.746370553970337
"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,"Both ""500 Years Later"" and ""Manson"" are documentary films.","Both ""500 Years Later"" and ""Manson"" are documentary films.",NO,"""500 Years Later"" is a documentary film, while ""Manson"" is a documentary film about Charles Manson and the Manson Family.",185.0,1.6440656185150146
The third emperor in the Year of the Four Emperors had how many wives? ,second,The second emperor in the Year of the Four Emperors had more than one wife.,I have no idea.,YES,"The third emperor in the Year of the Four Emperors was Vitellius, and he had two wives: Petronia and Galeria Fundana.",182.0,1.6261365413665771
How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,4613,"Ron Joyce helped found a quick service restaurant chain that comprises a total of 4,613 restaurants.","Tim Hortons, the quick service restaurant chain that Ron Joyce helped found, comprises over 5,000 restaurants worldwide.",NO,"Tim Hortons, the quick service restaurant chain that Ron Joyce helped found, comprises over 5,600 restaurants worldwide as of 2023.",195.0,1.1786830425262451
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977,"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in 1977.","The Indian actor and philanthropist who starred in ""Mera Damad,"" Amjad Khan, entered the film industry in 1957.",YES,"Amjad Khan, the Indian actor known for his role in ""Mera Damad,"" entered the film industry in 1973 with his debut in the film ""Hindustan Ki Kasam.""",222.0,1.570085048675537
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,"The Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, was born in 1932.",I have no idea.,YES,"The Chief Aerodynamicist for the Bloodhound SSC project, a British supersonic land vehicle aiming to exceed 1000 mph, is Ron Ayers, who was born on October 7, 1932.",211.0,1.9652681350708008
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,143372,"The population of the city at which the transmitter of WLLZ-LP was placed is 143,372.",I have no idea.,YES,"WLLZ-LP is a low-power FM radio station licensed to serve the community of Detroit, Michigan, and as of the 2020 United States Census, the population of Detroit was approximately 639,111.",197.0,1.9027183055877686
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,"Dinosaur came out first before McFarland, USA.","Dinosaur came out first, in the year 2000, while McFarland, USA was released in 2015.",NO,"""Dinosaur"" was released in 2000, and ""McFarland, USA"" was released in 2015, so ""Dinosaur"" came out first.",201.0,1.6324760913848877
Who was the eldest brother of the Mexican drug trafficker born 12 March 1952?,Francisco Rafael Arellano FÃÂÃÂ©lix,The eldest brother of the Mexican drug trafficker born 12 March 1952 was Francisco Rafael Arellano FÃÂÃÂ©lix.,I have no idea.,YES,"The Mexican drug trafficker born on March 12, 1952, is Miguel Ángel Félix Gallardo, and his eldest brother is Juan José Félix Gallardo.",188.0,1.4909107685089111
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the world outside North America until it was succeeded by a building in Hong Kong.,"The tallest building outside North America that succeeded One Raffles Place is located in Kuala Lumpur, Malaysia.",YES,"One Raffles Place was one of the tallest buildings in Singapore, but it was succeeded by the Petronas Towers in Kuala Lumpur, Malaysia, as the tallest buildings in the world outside North America when they were completed in 1998.",231.0,1.565098762512207
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II,"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but his attempt to rid India of British rule during World War II left a troubled legacy.","The Azad Hind Dal was created by Subhas Chandra Bose during World War II in his attempt to rid India of British rule, leaving a troubled legacy.",NO,"The Azad Hind Dal was not a specific organization created by Subhas Chandra Bose; rather, Bose was instrumental in forming the Azad Hind Fauj, also known as the Indian National Army (INA), during World War II to fight against British rule in India.",252.0,1.8133974075317383
Where was the movement that August Brancart published literature from centerd?,Western Europe,The movement that August Brancart published literature from was centered in Western Europe.,"The movement that August Brancart published literature from was centered in Brussels, Belgium.",YES,"August Brancart was a publisher known for distributing erotic literature, and his activities were primarily centered in London, England, rather than Brussels.",187.0,2.3642895221710205
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film titled ""The Bye Bye Man.""","The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",NO,"Cressida Bonas, the youngest daughter of Lady Mary-Gaye Curzon, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",233.0,1.2042090892791748
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics attended Oxford, one of the most prestigious universities in Britain.","The author of Sexual Politics, Kate Millett, attended St Hilda's College, Oxford.",NO,"Kate Millett, the author of ""Sexual Politics,"" attended St Hilda's College at the University of Oxford.",180.0,1.3824973106384277
