Question,Answer,base_response,is_hallucination,final_answer,token_cost,time_cost,recheck_hallucination,final_answer,recheck_hallucination
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,"Roberta Vinci had the better singles ranking, reaching a career-high of world No. 7 compared to Jorge Lozano’s career-high of No. 51.",NO,"Roberta Vinci had the higher singles ranking, peaking at No. 7 compared to Jorge Lozano’s career-high singles ranking of No. 51.",5705,156.4024847,,"Roberta Vinci had the better singles ranking, reaching world No. 7, while Jorge Lozano’s career-high singles ranking was No. 51.",
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""",The song was John Michael Montgomery’s “I Swear.”,YES,"It wasn’t “I Swear”—no song kept it out of the top spot, as the album’s third single “Chattahoochee” reached number one.",8405,129.2179823,YES,A Bad Goodbye by Clint Black with Wynonna spent two weeks at No. 2 behind Alan Jackson’s third single “Chattahoochee” on the country charts.,YES
"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur came out first.,NO,"Dinosaur came out first, released in 2000, before McFarland, USA, which was released in 2015.",4410,96.2532177,,"Dinosaur came out first, released in 2000, while McFarland, USA was released in 2015.",
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,"They are located in Wichita, Kansas.",NO,"They are located in Wichita, Kansas.",4702,85.73337626,,"They are located in Wichita, Kansas.",
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","The city, Memphis, had a population of 646,889 in 2010.",YES,"646,889.00",4282,83.84558225,YES,"Memphis had a population of 646,889 in 2010.",YES
Are both Dafeng District and Dazhou located in the same province?,no,"No, Dafeng District is in Jiangsu Province while Dazhou is in Sichuan Province.",NO,"No, Dafeng District is in Jiangsu Province while Dazhou is in Sichuan Province.",3389,75.87762308,,"No; Dafeng District is in Jiangsu Province, while Dazhou is in Sichuan Province.",
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,Crimplene.,YES,Starlite.,6571,108.9862804,NO,"No such material exists as described; the claim usually refers to Crimplene, but it was developed by ICI at Harrogate and named after the nearby Crimple Valley (and the word “crimp”), not by a Yorkshire hairdresser’s granddaughter.",YES
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,It was succeeded by a building in Hong Kong.,NO,It was succeeded by a building in Hong Kong.,3379,81.8909719,,It was succeeded by a building in Hong Kong.,
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards’ first home venue was Arrowhead Stadium.,NO,Arrowhead Stadium was their first home venue.,3486,56.51997161,,The Kansas City Wizards’ first home venue was Arrowhead Stadium.,
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,"It links Blackpool Zoo with Stanley Park, which was designed and built under the watchful eye of landscape architect Thomas Mawson.",NO,Thomas Mawson.,5861,128.7562647,,Thomas H. Mawson.,
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,The movie was directed by Brad Silberling.,NO,It was directed by Brad Silberling.,3539,88.87301683,,The movie was directed by Brad Silberling.,
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,It had five principal operations worldwide.,YES,The provided context does not specify how many principal operations worldwide St. Jude Medical had.,4165,99.0219171,YES,It had four principal operations worldwide.,YES
Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia,Eucryphia has more species than Lepidozamia.,NO,Eucryphia has more species than Lepidozamia (Lepidozamia has only two species).,5413,115.1615641,,Eucryphia has more species than Lepidozamia.,
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Sacred Planet,Sacred Planet was released first.,NO,"Sacred Planet was released first, in 2004, before Oz the Great and Powerful in 2013.",4162,169.0621786,,Sacred Planet (2004) was released before Oz the Great and Powerful (2013).,
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist,He practices handcycling.,NO,He practices handcycling.,5115,106.0525901,,He practices handcycling.,
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak,"The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the conflict.",NO,"The first phase was officially ended by the Treaty of Gandamak, signed in May 1879.",3354,104.6448607,,The Treaty of Gandamak officially ended the first phase of the conflict.,
Where is the Cocoa Krispies and former Superman sponsor located?,"Battle Creek, Michigan","Cocoa Krispies’ maker and former Superman sponsor Kellogg’s is located in Battle Creek, Michigan.",NO,"Kellogg’s, the maker of Cocoa Krispies and a former Superman sponsor, is headquartered in Battle Creek, Michigan.",4588,232.7076633,,"It is located in Battle Creek, Michigan, United States.",
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,It took 29 days.,NO,It took 29 days.,6719,157.6645756,,29 days.,
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,The international competition was the FIFA Women's World Cup.,NO,The competition was the FIFA Women’s World Cup.,4632,162.8145144,,The international competition was the FIFA Women's World Cup.,
The city that contains the Yunnan Provincial Museum is also known by what nickname?,Spring city,"Kunming, the city that contains the Yunnan Provincial Museum, is nicknamed the Spring City.",NO,It is nicknamed the Spring City.,3191,127.1755023,,"Kunming, the city that contains the Yunnan Provincial Museum, is nicknamed the Spring City.",
What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day,Jessica Rothe stars in the 2017 Christopher B. Landon-directed American slasher film Happy Death Day.,NO,The film is Happy Death Day.,3542,53.65803957,,Happy Death Day.,
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",8-Sep-17,"The album was released on September 8, 2017.",NO,"The album’s release date cannot be determined from the provided information, as the song was “Small Town Boy” but the album was not “Current Mood.”",5896,154.0698664,,"The album, Current Mood, was released on September 8, 2017.",
What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?,modern-day New York City,New York City.,NO,They awaken in New York City.,3544,77.37712932,,"Fictional context: they awaken in New York City; in real-world terms, this is New York City, USA.",
Which American writer wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962)?,Philip K. Dick,Philip K. Dick is the American writer who wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962).,NO,Philip K. Dick.,3452,54.56565595,,Philip K. Dick is the American writer who wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962).,
"Which football team does Lewis Young's older brother, Ashley Young, play for?",Premier League club Manchester United and the England national team,Ashley Young plays for Manchester United.,YES,There isn’t enough information in the provided context to determine which team Ashley Young plays for.,3168,52.52925777,YES,Ashley Young plays for Everton.,NO
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977,He entered the film industry in 1973.,YES,The available information is insufficient to determine the year he entered the film industry or to verify whether it was 1973.,7898,153.9909427,YES,He entered the film industry in 1982.,YES
"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.","Gallery is older, debuting in 1972, whereas Dime Magazine launched decades later in 2003.",NO,"Gallery is older, first published in 1972, while Dime Magazine launched in 2003.",3808,76.89079213,,Gallery is older than Dime Magazine.,
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ftÂ²","It is approximately 728,000 square feet.",NO,"It is approximately 728,000 square feet.",3983,63.95554304,,"Dimond Center, the Anchorage shopping mall housing KGOT’s studios, is approximately 728,000 square feet.",
"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?",Terry Gilliam,It was made in the style of celebrated American animator Tex Avery.,YES,The celebrated American animator was Tex Avery.,3662,92.97682548,YES,It was made in the style of celebrated American animator Tex Avery.,YES
What is the height of the player who won the 2015 AFL Rising Star award?,1.95 m,He is 195 centimeters tall.,NO,Jesse Hogan is 195 centimeters tall.,3472,61.77091169,,He is 195 centimeters tall.,
The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,They were both made by Walt Disney Productions.,NO,They were both made by Walt Disney Productions.,3307,55.68116093,,Both films were produced by Walt Disney Productions.,
Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20","It is located at 46 Albert Square, Walford, London.",NO,"46 Albert Square, Walford, London E20.",5605,114.1403186,,"Fictional: The Queen Victoria pub where Mick Carter is landlord is at 46 Albert Square, Walford, London E20; real-world: its exterior set is at the BBC Elstree Centre on Eldon Avenue in Borehamwood, Hertfordshire.",
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Their shared country of ancestry is Armenia.,NO,Their shared country of ancestry is Armenia.,3418,53.43608785,,Their shared country of ancestry is Armenia.,
How many Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in?,33,Thirty-five Senate seats will be contested.,YES,Thirty-five U.S. Senate seats will be contested.,3933,57.22410297,YES,Thirty-five Senate seats will be contested in the 2018 midterm elections.,YES
How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,"4,613","The chain comprises 4,846 restaurants.",NO,"The chain comprises 4,846 restaurants.",5336,74.82368588,,"Ron Joyce helped found Tim Hortons, which comprises about 5,700 restaurants worldwide as of 2023.",
"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,"Both ""500 Years Later"" and ""Manson"" are documentary films.",NO,"Both ""500 Years Later"" and ""Manson"" are documentary films.",3674,59.00975728,,"Both ""500 Years Later"" and ""Manson"" are documentary films.",
What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer,They were both film directors and producers.,NO,They were both film directors and producers.,3982,61.85642409,,They were both film directors and producers.,
"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York","The academy is located in Kings Point, New York.",NO,"The United States Merchant Marine Academy is located in Kings Point, New York.",3927,61.9568696,,"The academy is located in Kings Point, New York.",
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,30-Sep-17,"The program’s 43rd season premiered on September 30, 2017.",NO,"The program’s 43rd season premiered in 2017, but the exact date cannot be determined from the provided context.",4961,87.13543415,,"September 30, 2017.",
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II,It was during World War II.,NO,World War II.,4831,77.55350828,,World War II.,
"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",IK Start,Viking beat IK Start.,NO,Viking beat IK Start.,3041,41.98376656,,Viking beat IK Start.,
"Which band has released the most studio albums, Blonde Redhead or Rob Zombie's band White Zombie?",Blonde Redhead,"Blonde Redhead, with ten studio albums, has released more than White Zombie’s four.",NO,"Blonde Redhead has released more studio albums, with ten compared to White Zombie’s four.",4603,68.44276977,,"Blonde Redhead has released more studio albums than White Zombie, with ten compared to White Zombie’s four.",
Where was the movement that August Brancart published literature from centerd?,Western Europe,The movement was centered in Brussels.,NO,The movement was centered in Brussels.,4023,59.93615937,,It was centered in Brussels.,
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,Stephen Susco wrote a movie that was produced by the American film actor Sam Raimi.,NO,The movie written by Stephen Susco was produced by the American film actor Sam Raimi.,4471,90.38862205,,The American film actor was Sam Raimi.,
are the documentaries Out of Place and The Mosuo Sisters by the same director ?,no,"No, they were directed by different people.",NO,"No, they have different directors—Out of Place was directed by Scott Ditzenberger and Darrin McDonald, while The Mosuo Sisters was directed by Marlo Poras.",6278,97.32099223,,"No, The Mosuo Sisters was directed by Marlo Poras, whereas Out of Place was directed by a different filmmaker.",
Watercliffe Meadow Primary Schools name change is an example of what term generally used to describe the avoidance of certain language?,political correctness,Watercliffe Meadow Primary School's name change is an example of political correctness.,NO,It is not an example of political correctness; staff said the change was intended to reshape perceptions and improve engagement rather than avoid certain language.,3701,60.79638743,,It is an example of political correctness.,
"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?",650 locations,"As of early 2008, BJ’s Wholesale Club was operating in approximately 180 locations.",YES,"As of early 2008, BJ’s Wholesale Club operated in approximately 180 locations.",2986,47.04986382,YES,"As of early 2008, BJ’s Wholesale Club was operating approximately 176 locations.",YES
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,It started in 2005.,YES,There is not enough information in the provided context to determine what year the magazine started.,4774,93.31281304,YES,It started in 1950.,NO
"Thomas Matthew ""Tom"" Chappell co-founded a commpany in 1970 that manufactures what products?",natural-ingredients-only personal care products,"He co-founded Tom’s of Maine in 1970, which manufactures natural personal care products such as toothpaste, mouthwash, deodorant, and soap.",NO,"Natural personal care products, including toothpaste, mouthwash, deodorant, and soap.",7521,133.1077883,,"He co-founded Tom’s of Maine in 1970, which manufactures natural personal care products.",
What type of beliefs does Mount Ida and Rhea have in common?,Greek mythology,Mount Ida and Rhea are both linked to ancient mother-goddess religious beliefs.,NO,Both are associated with ancient mother-goddess religious beliefs and worship.,3887,72.33424473,,Both are associated with ancient mother‑goddess fertility cult beliefs.,
Where does the story take place in 1988 film The Moderns?,1926 Paris,"The story takes place in 1926 Paris, France, amid the expatriate art scene centered in Montparnasse.",NO,"The story takes place in Paris, France—specifically in Montparnasse—during 1926.",7835,124.6251223,,"In the film’s fictional narrative, the story takes place in Paris, France, in 1926.",
Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,Orson Welles,It was directed by and starred Orson Welles.,NO,It was directed by and starred Orson Welles.,3121,65.47571182,,It was directed by and starred Orson Welles.,
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","Income tax in Australia is levied on three categories: individuals, companies, and superannuation funds.",NO,"From the provided context, Australia levies income tax on companies and superannuation funds, but whether individuals are included among the three categories cannot be determined.",6812,115.6885993,,"Income tax in Australia is levied on three main categories: individuals, companies, and superannuation funds.",
Scout Tufankjian and Daron Malakian are both what?,Armenian-American,Scout Tufankjian and Daron Malakian are both Armenian-American.,NO,They are both Armenian-American.,2758,41.47339463,,They are both Armenian-American.,
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast,Howard Fast wrote under the pen name Walter Ericson.,NO,Howard Fast wrote under the pen name Walter Ericson.,4451,61.7646811,,Howard Fast wrote under the pen name Walter Ericson.,
Edmund Robert Harris is the principal benefactor of a museum located where ?,Preston,"Edmund Robert Harris is the principal benefactor of the Harris Museum, located in Preston, Lancashire, England.",NO,"The museum is located in Preston, Lancashire, England.",6170,129.8142836,,"The Harris Museum is located in Preston, Lancashire, England.",
Were Illinois Institute of Technology and Boise State University both bounded before 1950?,yes,"Yes; Illinois Institute of Technology was founded in 1940 (via a merger) and Boise State University began in 1932, so both were established before 1950.",NO,"Yes—Illinois Institute of Technology was formed in 1940 via a merger and Boise State University began in 1932, so both were established before 1950.",5473,87.99317217,,"Yes—Illinois Institute of Technology was founded in 1940 and Boise State University traces its origin to 1932, so both were founded before 1950.",
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel,"Erwin Lambert was a member of the SA (Sturmabteilung), Hitler’s paramilitary “Brownshirts.”",NO,"Erwin Lambert was a member of the SA (Sturmabteilung), the Nazi Party’s paramilitary Brownshirts.",7417,134.7222116,,Erwin Lambert was a member of the SS (Schutzstaffel).,
"Michael Pollock was was a senior officer in the United Kingdom's naval warfare force, also known as the what?",Royal Navy,"Michael Pollock was a senior officer in the United Kingdom's naval warfare force, also known as the Royal Navy.",NO,The Royal Navy.,4941,85.84300351,,"Michael Pollock was a senior officer in the United Kingdom's naval warfare force, the Royal Navy.",
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,"143,372",I have no idea.,YES,"The population isn’t provided here, but you can determine it by identifying the transmitter’s city for WLLZ-LP (via FCC records) and then looking up that city’s population in U.S. Census data.",6435,108.0854869,YES,"As of the 2020 U.S. Census, the city where WLLZ-LP’s transmitter was located—Detroit, Michigan—had a population of 639,111.",YES
"Who is descended from William, 4th Lord Livingston and was a statesman from New York City? ",Philip Livingston,"Philip Livingston was the statesman from New York City who was descended from William, 4th Lord Livingston.",NO,"William Livingston, later Governor of New Jersey, was the statesman from New York City descended from William, 4th Lord Livingston.",4520,64.48346162,,"Robert R. Livingston was the statesman from New York City who was descended from William, 4th Lord Livingston.",
Padosan had a supporting actor who is known as a successful playback singer in what language?,Hindi,He is known as a successful playback singer in Hindi.,NO,He is known as a successful playback singer in Hindi.,8807,161.8584015,,He is known as a successful playback singer in Hindi.,
Macclesfield Town F.C. plays in the league sponsored by whom?,Vanarama,Macclesfield Town F.C. plays in the league sponsored by Coca-Cola.,YES,None; Macclesfield Town F.C. no longer competes in any league.,4497,84.40035009,YES,"Macclesfield Town F.C., before being wound up in 2020, last played in EFL League Two, which was sponsored by Sky Bet.",YES
"What song by the American rapper Coolio is on his greatest hits album ""Fantiastic Voyage"" and samples from a Stevie Wonder song?",Gangsta's Paradise,The song is Gangsta’s Paradise.,NO,The song is Gangsta’s Paradise.,5584,104.9806776,,The song is Gangsta’s Paradise.,
Who was the eldest brother of the Mexican drug trafficker born 12 March 1952?,Francisco Rafael Arellano FÃ©lix,His eldest brother was Francisco Rafael Arellano Félix.,NO,Francisco Rafael Arellano Félix.,5063,86.79767132,,Francisco Rafael Arellano Félix was his eldest brother.,
In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?,Campbellsville University,Campbellsville University.,NO,Campbellsville University.,4350,56.8271029,,Campbellsville University.,
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851,It was published in 1851.,NO,It was published in 1851.,3730,57.61574173,,It was published in 1851.,
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,He was born in 1932.,NO,He was born in 1932.,5602,78.29191709,,He was born in 1932.,
The third emperor in the Year of the Four Emperors had how many wives? ,second,He had two wives.,YES,"The provided context does not specify how many wives Vitellius, the third emperor in the Year of the Four Emperors, had.",5337,99.44431949,YES,He had two wives.,YES
Keanu is a 2016 American action comedy film directed by Peter Atencio and written by who?,Jordan Peele,It was written by Jordan Peele and Alex Rubens.,NO,It was written by Jordan Peele and Alex Rubens.,3656,54.51231813,,It was written by Jordan Peele and Alex Rubens.,
Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire","The seminar she directed from 2007 to 2010 was at The Frost Place in Franconia, New Hampshire.",NO,"It is located at The Frost Place in Franconia, New Hampshire.",8525,110.1754367,,"The seminar Jeanne Marie Beaumont directed from 2007 to 2010 is located at The Frost Place in Franconia, New Hampshire.",
What is the name of the father of Childericus?,Merovech,The father of Childericus was Merovech.,NO,"Merovech, traditionally considered Childeric I’s father, although his historicity is semi-legendary.",4576,60.41863608,,Merovech was the father of Childericus (Childeric I).,
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,The denomination has approximately 2.3 million members.,NO,The denomination affiliated with Immanuel Lutheran School has approximately 2.3 million members.,6415,94.88608932,,Approximately 1.8 million members.,
in the 2004 Hockey film produced by a former major league baseball pitcher who played the USA coach?,Kurt Russell,Kurt Russell played USA coach Herb Brooks.,NO,"Kurt Russell played the USA coach, Herb Brooks, in the 2004 film Miracle.",4273,77.32824874,,"Kurt Russell played the USA coach, Herb Brooks, in the 2004 hockey film Miracle.",
Tamanchey is a comedy film that starred the actress who works in what type of films?,Hindi,"The actress, Richa Chadha, works in Hindi films.",NO,There is insufficient information in the provided context to determine what type of films the actress who starred in Tamanchey works in.,4569,78.05784583,,She works in Hindi films.,
"Which star of ""Chalet Girl"" also appeared in ""The Treasure Seekers""?",Felicity Rose Hadley Jones,"Felicity Jones appeared in both ""Chalet Girl"" and ""The Treasure Seekers.""",NO,"Felicity Jones is the star of ""Chalet Girl"" who also appeared in ""The Treasure Seekers.""",3649,48.50109243,,Felicity Jones is the Chalet Girl star who also appeared in The Treasure Seekers.,
Who currently has more store locations? Bearno's or Patxi's Chicago Pizza?,Bearno's Pizza,Bearno's currently has more store locations than Patxi's Chicago Pizza.,NO,Bearno's has more store locations than Patxi's Chicago Pizza.,6966,96.22653794,,Bearno's currently has more store locations than Patxi's Chicago Pizza.,
Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway,Bethpage State Parkway begins at an interchange with the Southern State Parkway.,NO,The Bethpage State Parkway begins at an interchange with the Southern State Parkway.,5342,97.27472568,,Bethpage State Parkway begins at an interchange with the Southern State Parkway.,
At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?,fortnightly,The magazine that ranked Aditya Puri #24 on India’s 50 Most Powerful People of 2017 is published fortnightly.,NO,The magazine is published fortnightly.,4956,94.93000889,,The magazine is published weekly.,
"Which plant genus has a longer common name, Myrtus or Eustoma?",Eustoma,Eustoma has a longer common name (lisianthus) than Myrtus (myrtle).,NO,Eustoma has the longer common name (lisianthus) compared to Myrtus (myrtle).,5133,78.22483826,,Eustoma’s common name lisianthus is longer than Myrtus’s common name myrtle.,
"Which Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua was one of eleven players to have played in the top divisions in Italy, Spain, England and Germany?",Obafemi Martins,"Obafemi Martins is the Nigerian forward for Shanghai Greenland Shenhua who was one of eleven players to have played in the top divisions in Italy, Spain, England, and Germany.",NO,Obafemi Martins.,5303,89.64926434,,Obafemi Martins.,
 Who was born first Doug Liman or Saul Metzstein?,"Douglas Eric ""Doug"" Liman",Doug Liman was born first.,NO,"Doug Liman was born first, on July 24, 1965, ahead of Saul Metzstein, born December 30, 1970.",4162,64.52900267,,"Doug Liman (born July 24, 1965) was born before Saul Metzstein (born December 30, 1970).",
"Which band has more members, Kitchens of Distinction or Royal Blood?",Kitchens of Distinction,"Kitchens of Distinction has more members, with three compared to Royal Blood’s two.",NO,"Kitchens of Distinction has more members, with three compared to Royal Blood’s two.",3346,52.82406759,,"Kitchens of Distinction has more members, with three core members compared to Royal Blood’s two.",
Cistus and Stapelianthus are both forms of what?,flowering plants,They are both forms of flowering plants.,NO,They are both genera of flowering plants (angiosperms).,4267,72.20901513,,They are both genera of flowering plants.,
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,20-Oct-80,"It was released on October 20, 1980.",NO,"It was released on October 20, 1980.",4674,84.49315429,,"U2’s album Boy, which includes “An Cat Dubh/Into the Heart,” was first released on October 20, 1980.",
What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?,Israeli Ambassador,"Nathan Sharansky’s co-author, Ron Dermer, is Israel’s ambassador to the United States.",NO,"Ron Dermer, Nathan (Natan) Sharansky’s co-author of The Case for Democracy, currently serves as Israel’s Minister of Strategic Affairs.",3697,67.53746891,,"Ron Dermer, Natan Sharansky’s co-author on The Case for Democracy, currently serves as Israel’s Minister of Strategic Affairs.",
What casino in Las Vegas which is now operated by MGM Resorts International was developed by William G. Bennett?,Excalibur Hotel and Casino,The Excalibur Hotel and Casino in Las Vegas was developed by William G. Bennett and is now operated by MGM Resorts International.,NO,"The Luxor Hotel and Casino in Las Vegas, developed by Circus Circus Enterprises under William G. Bennett’s leadership, is now operated by MGM Resorts International.",4733,77.16815996,,The Excalibur Hotel and Casino in Las Vegas was developed by William G. Bennett and is now operated by MGM Resorts International.,
Paul DeBoy is known for an appearance in the Western action-adventure game developed by which company?,Rockstar San Diego,Paul DeBoy is known for an appearance in the Western action-adventure game developed by Rockstar San Diego.,NO,It was developed by Rockstar San Diego.,4319,84.56544304,,Rockstar San Diego developed the game.,
"What is the name of this New York based American investment management firm founded in 1982, whose co-CEO is Robert Mercer?",Renaissance Technologies,The firm is Renaissance Technologies.,NO,"Renaissance Technologies, though Robert Mercer is a former co-CEO who stepped down in 2017.",3446,41.9242487,,The firm is Renaissance Technologies.,
Are Des Moines International Airport and Grand Canyon National Park Airport both major airline hubs?,no,"No, neither is a major airline hub; Des Moines International Airport is a regional commercial airport and Grand Canyon National Park Airport is a small facility with limited service.",NO,"No; Des Moines International Airport is a primary small-hub commercial service airport, and Grand Canyon National Park Airport is a small regional airport serving the Grand Canyon area, so neither is a major airline hub.",5443,85.67909837,,"No; Des Moines International Airport is not a major airline hub, and Grand Canyon National Park Airport is a small airport used mainly for scenic tours and charters, not a hub.",
 The Canadian Hot 100 is a music industry record chart in Canada for for a song that is released separately from what?,an album,It is for a song that is released separately from an album.,NO,An album.,3567,47.15577316,,An album.,
Is Karjiang a mountain and Sherpi Kangri a mountain peak?,yes,"Yes, Karjiang is a mountain and Sherpi Kangri is a mountain peak.",NO,"Yes, Karjiang is a mountain and Sherpi Kangri is a mountain peak.",2797,43.97992682,,Yes—Karjiang is a mountain (a Himalayan peak in Tibet) and Sherpi Kangri is a mountain peak in the Karakoram.,
